train_sub,test_sub,task,diff_sub,same_sub,OS_TPV,OS_RPV,SS_TPV,SS_RPV
MSC03,MSC05,motor,0.905,0.95,1.0,0.8409090909090909,,0.95
MSC03,MSC05,mem,0.9,0.9375,1.0,0.8388486513486514,,0.9375
MSC03,MSC06,glass,0.5263157894736842,0.85,,0.5263157894736842,,0.85
MSC03,MSC06,semantic,0.5,0.9,,0.5,,0.9
MSC03,MSC06,motor,0.8052631578947368,0.95,1.0,0.7324175824175825,,0.95
MSC03,MSC06,mem,0.64375,0.9375,,0.5898984593837535,,0.9375
MSC03,MSC07,glass,0.55,0.85,1.0,0.5263157894736842,,0.85
MSC03,MSC07,semantic,0.5,0.9,,0.5,,0.9
MSC03,MSC07,motor,0.8157894736842105,0.95,1.0,0.7474358974358974,,0.95
MSC03,MSC07,mem,0.525,0.9375,,0.5135233918128654,,0.9375
MSC03,MSC10,glass,0.5,0.85,,0.5,,0.85
MSC03,MSC10,semantic,0.5,0.9,,0.5,,0.9
MSC03,MSC10,motor,0.76,0.95,1.0,0.6761904761904761,,0.95
MSC03,MSC10,mem,0.7875,0.9375,1.0,0.7118910501263442,,0.9375
MSC04,MSC01,glass,0.685,0.95,1.0,0.6154411764705883,,0.95
MSC04,MSC01,semantic,0.895,0.95,1.0,0.834015984015984,,0.95
MSC04,MSC01,motor,1.0,1.0,1.0,1.0,1.0,1.0
MSC04,MSC01,mem,0.96,1.0,0.9287878787878787,1.0,1.0,1.0
MSC04,MSC02,glass,0.615,0.95,1.0,0.5660474716202271,,0.95
MSC04,MSC02,semantic,0.74,0.95,1.0,0.6681525174172234,,0.95
MSC04,MSC02,motor,0.995,1.0,1.0,0.990909090909091,1.0,1.0
MSC04,MSC02,mem,0.94,1.0,0.9633333333333334,0.9254545454545454,1.0,1.0
MSC04,MSC03,glass,0.665,0.95,1.0,0.6028183203105804,,0.95
MSC04,MSC03,semantic,0.795,0.95,1.0,0.7123168498168498,,0.95
MSC04,MSC03,motor,0.955,1.0,0.9181818181818182,1.0,1.0,1.0
MSC04,MSC03,mem,0.7333333333333333,1.0,0.64,1.0,1.0,1.0
MSC04,MSC05,glass,0.595,0.95,,0.5532679738562092,,0.95
MSC04,MSC05,semantic,0.525,0.95,,0.5134502923976608,,0.95
MSC04,MSC05,motor,0.97,1.0,1.0,0.9484848484848485,1.0,1.0
MSC04,MSC05,mem,0.94,1.0,1.0,0.8939393939393939,1.0,1.0
MSC04,MSC06,glass,0.868421052631579,0.95,1.0,0.8021978021978022,,0.95
MSC04,MSC06,semantic,0.63,0.95,1.0,0.5759158926728586,,0.95
MSC04,MSC06,motor,0.9421052631578947,1.0,1.0,0.9072261072261072,1.0,1.0
MSC04,MSC06,mem,1.0,1.0,1.0,1.0,1.0,1.0
MSC04,MSC07,glass,0.74,0.95,0.8109126984126984,0.6973776223776224,,0.95
MSC04,MSC07,semantic,0.935,0.95,1.0,0.8893939393939394,,0.95
MSC04,MSC07,motor,0.9789473684210526,1.0,0.96,1.0,1.0,1.0
MSC04,MSC07,mem,0.87,1.0,0.7967032967032968,1.0,1.0,1.0
MSC04,MSC10,glass,0.795,0.95,0.9857142857142858,0.7120879120879121,,0.95
MSC04,MSC10,semantic,0.705,0.95,1.0,0.6354431516196222,,0.95
