sub	sess	task	TR	dropFr	topDir	dataFolder	confoundsFolder	FDtype	runs	residuals
INET003	1	slowreveal	1.1	5	/projects/b1081/iNetworks/Nifti/derivatives	preproc_fmriprep-20.2.0	preproc_fmriprep-20.2.0	fFD	"1,2,3,4"	1
INET003	2	slowreveal	1.1	5	/projects/b1081/iNetworks/Nifti/derivatives	preproc_fmriprep-20.2.0	preproc_fmriprep-20.2.0	fFD	"1,2,3,4"	1
INET003	3	slowreveal	1.1	5	/projects/b1081/iNetworks/Nifti/derivatives	preproc_fmriprep-20.2.0	preproc_fmriprep-20.2.0	fFD	"1,2,3"	1
INET003	4	slowreveal	1.1	5	/projects/b1081/iNetworks/Nifti/derivatives	preproc_fmriprep-20.2.0	preproc_fmriprep-20.2.0	fFD	"1,2,3"	1
INET006	1	slowreveal	1.1	5	/projects/b1081/iNetworks/Nifti/derivatives	preproc_fmriprep-20.2.0	preproc_fmriprep-20.2.0	fFD	"1,2,3,4"	1
INET006	2	slowreveal	1.1	5	/projects/b1081/iNetworks/Nifti/derivatives	preproc_fmriprep-20.2.0	preproc_fmriprep-20.2.0	fFD	"1,2,3,4"	1
INET006	3	slowreveal	1.1	5	/projects/b1081/iNetworks/Nifti/derivatives	preproc_fmriprep-20.2.0	preproc_fmriprep-20.2.0	fFD	"1,2,3"	1
INET006	4	slowreveal	1.1	5	/projects/b1081/iNetworks/Nifti/derivatives	preproc_fmriprep-20.2.0	preproc_fmriprep-20.2.0	fFD	"1,2,3"	1
INET016	1	slowreveal	1.1	5	/projects/b1081/iNetworks/Nifti/derivatives	preproc_fmriprep-20.2.0	preproc_fmriprep-20.2.0	fFD	"1,2,3,4"	1
INET016	2	slowreveal	1.1	5	/projects/b1081/iNetworks/Nifti/derivatives	preproc_fmriprep-20.2.0	preproc_fmriprep-20.2.0	fFD	"1,2,3,4"	1
INET016	3	slowreveal	1.1	5	/projects/b1081/iNetworks/Nifti/derivatives	preproc_fmriprep-20.2.0	preproc_fmriprep-20.2.0	fFD	"1,2,3,4"	1
INET016	4	slowreveal	1.1	5	/projects/b1081/iNetworks/Nifti/derivatives	preproc_fmriprep-20.2.0	preproc_fmriprep-20.2.0	fFD	"1,2,3,4"	1
INET018	1	slowreveal	1.1	5	/projects/b1081/iNetworks/Nifti/derivatives	preproc_fmriprep-20.2.0	preproc_fmriprep-20.2.0	fFD	"1,2,3"	1
INET018	2	slowreveal	1.1	5	/projects/b1081/iNetworks/Nifti/derivatives	preproc_fmriprep-20.2.0	preproc_fmriprep-20.2.0	fFD	"1,2,3,4"	1
INET018	3	slowreveal	1.1	5	/projects/b1081/iNetworks/Nifti/derivatives	preproc_fmriprep-20.2.0	preproc_fmriprep-20.2.0	fFD	"1,2,3,4"	1
INET018	4	slowreveal	1.1	5	/projects/b1081/iNetworks/Nifti/derivatives	preproc_fmriprep-20.2.0	preproc_fmriprep-20.2.0	fFD	"1,2,3"	1
INET005	1	slowreveal	1.1	5	/projects/b1081/iNetworks/Nifti/derivatives	preproc_fmriprep-20.2.0	preproc_fmriprep-20.2.0	fFD	"1,2,3,4"	1
INET005	2	slowreveal	1.1	5	/projects/b1081/iNetworks/Nifti/derivatives	preproc_fmriprep-20.2.0	preproc_fmriprep-20.2.0	fFD	"1,2,3,4"	1
INET005	3	slowreveal	1.1	5	/projects/b1081/iNetworks/Nifti/derivatives	preproc_fmriprep-20.2.0	preproc_fmriprep-20.2.0	fFD	"1,2,3"	1
INET005	4	slowreveal	1.1	5	/projects/b1081/iNetworks/Nifti/derivatives	preproc_fmriprep-20.2.0	preproc_fmriprep-20.2.0	fFD	"1,2,3"	1
