sub,session,task,rt,corr
MSC01,Session 1,Verb,1171,corr
MSC01,Session 1,Verb,981,corr
MSC01,Session 1,Noun,1564,corr
MSC01,Session 1,Noun,1244,corr
MSC01,Session 1,Noun,1597,corr
MSC01,Session 1,Verb,1367,corr
MSC01,Session 1,Noun,1165,corr
MSC01,Session 1,Verb,803,corr
MSC01,Session 1,Noun,881,corr
MSC01,Session 1,Verb,973,corr
MSC01,Session 1,Verb,1283,corr
MSC01,Session 1,Verb,1066,corr
MSC01,Session 1,Noun,997,corr
MSC01,Session 1,Noun,820,corr
MSC01,Session 1,Noun,1708,corr
MSC01,Session 1,Noun,1810,corr
MSC01,Session 1,Verb,920,corr
MSC01,Session 1,Noun,911,corr
MSC01,Session 1,Verb,1401,err
MSC01,Session 1,Verb,1572,corr
MSC01,Session 1,Noun,1022,corr
MSC01,Session 1,Verb,1292,corr
MSC01,Session 1,Noun,978,corr
MSC01,Session 1,Noun,1227,corr
MSC01,Session 1,Noun,1290,corr
MSC01,Session 1,Verb,1055,corr
MSC01,Session 1,Verb,1445,corr
MSC01,Session 1,Noun,743,corr
MSC01,Session 1,Verb,873,corr
MSC01,Session 1,Verb,975,corr
MSC01,Session 1,coherent,854,corr
MSC01,Session 1,random,858,corr
MSC01,Session 1,coherent,783,corr
MSC01,Session 1,random,781,corr
MSC01,Session 1,coherent,723,corr
MSC01,Session 1,random,805,corr
MSC01,Session 1,coherent,733,corr
MSC01,Session 1,random,892,corr
MSC01,Session 1,coherent,715,corr
MSC01,Session 1,coherent,726,corr
MSC01,Session 1,random,761,corr
MSC01,Session 1,coherent,753,corr
MSC01,Session 1,random,829,corr
MSC01,Session 1,coherent,835,corr
MSC01,Session 1,random,879,corr
MSC01,Session 1,random,1100,corr
MSC01,Session 1,random,1149,corr
MSC01,Session 1,coherent,901,corr
MSC01,Session 1,coherent,744,corr
MSC01,Session 1,coherent,942,corr
MSC01,Session 1,random,858,corr
MSC01,Session 1,random,840,corr
MSC01,Session 1,random,1065,corr
MSC01,Session 1,random,921,corr
MSC01,Session 1,coherent,752,corr
MSC01,Session 1,coherent,1309,corr
MSC01,Session 1,random,848,corr
MSC01,Session 1,coherent,921,corr
MSC01,Session 1,coherent,1064,corr
MSC01,Session 1,random,870,corr
MSC01,Session 2,coherent,909,corr
MSC01,Session 2,random,959,corr
MSC01,Session 2,random,1138,corr
MSC01,Session 2,coherent,803,corr
MSC01,Session 2,coherent,874,corr
MSC01,Session 2,random,769,corr
MSC01,Session 2,coherent,1092,corr
MSC01,Session 2,random,885,corr
MSC01,Session 2,coherent,1270,err
MSC01,Session 2,coherent,944,corr
MSC01,Session 2,coherent,1249,corr
MSC01,Session 2,random,905,corr
MSC01,Session 2,coherent,729,corr
MSC01,Session 2,random,796,corr
MSC01,Session 2,random,771,corr
MSC01,Session 2,random,839,corr
MSC01,Session 2,coherent,854,corr
MSC01,Session 2,coherent,994,corr
MSC01,Session 2,random,795,corr
MSC01,Session 2,random,835,corr
MSC01,Session 2,coherent,753,corr
MSC01,Session 2,random,907,corr
MSC01,Session 2,random,1288,corr
MSC01,Session 2,random,1038,corr
MSC01,Session 2,coherent,683,corr
MSC01,Session 2,coherent,702,corr
MSC01,Session 2,coherent,733,corr
MSC01,Session 2,random,891,corr
MSC01,Session 2,coherent,885,corr
MSC01,Session 2,random,721,corr
MSC01,Session 2,Verb,1614,corr
MSC01,Session 2,Noun,1428,corr
MSC01,Session 2,Noun,917,corr
MSC01,Session 2,Noun,1388,corr
MSC01,Session 2,Verb,1117,corr
MSC01,Session 2,Verb,913,corr
MSC01,Session 2,Verb,1137,corr
MSC01,Session 2,Noun,1319,corr
MSC01,Session 2,Verb,1467,err
MSC01,Session 2,Noun,1726,corr
MSC01,Session 2,Noun,1394,corr
MSC01,Session 2,Noun,937,corr
MSC01,Session 2,Verb,1382,corr
MSC01,Session 2,Verb,1187,corr
MSC01,Session 2,Noun,986,corr
MSC01,Session 2,Noun,1225,corr
MSC01,Session 2,Noun,981,corr
MSC01,Session 2,Verb,1171,corr
MSC01,Session 2,Verb,1023,corr
MSC01,Session 2,Noun,934,corr
MSC01,Session 2,Verb,820,corr
MSC01,Session 2,Verb,921,corr
MSC01,Session 2,Verb,807,corr
MSC01,Session 2,Verb,1142,corr
MSC01,Session 2,Noun,1081,corr
MSC01,Session 2,Noun,1896,corr
MSC01,Session 2,Verb,937,corr
MSC01,Session 2,Verb,1338,corr
MSC01,Session 2,Noun,1536,corr
MSC01,Session 2,Noun,1317,corr
MSC01,Session 2,Verb,1840,corr
MSC01,Session 2,Verb,927,corr
MSC01,Session 2,Verb,1290,corr
MSC01,Session 2,Noun,938,corr
MSC01,Session 2,Verb,1311,corr
MSC01,Session 2,Noun,889,corr
MSC01,Session 2,Noun,1034,corr
MSC01,Session 2,Noun,1298,corr
MSC01,Session 2,Noun,921,corr
MSC01,Session 2,Verb,963,corr
MSC01,Session 2,Verb,924,corr
MSC01,Session 2,Verb,1181,corr
MSC01,Session 2,Noun,1541,corr
MSC01,Session 2,Verb,1067,corr
MSC01,Session 2,Noun,1212,corr
MSC01,Session 2,Noun,817,corr
MSC01,Session 2,Verb,969,corr
MSC01,Session 2,Noun,943,corr
MSC01,Session 2,Verb,967,corr
MSC01,Session 2,Noun,947,corr
MSC01,Session 2,Verb,1354,corr
MSC01,Session 2,Noun,856,corr
MSC01,Session 2,Noun,1594,corr
MSC01,Session 2,Noun,897,corr
MSC01,Session 2,Verb,956,corr
MSC01,Session 2,Noun,985,corr
MSC01,Session 2,Noun,1679,corr
MSC01,Session 2,Verb,1299,corr
MSC01,Session 2,Verb,1174,corr
MSC01,Session 2,Verb,1256,corr
MSC01,Session 2,random,1227,corr
MSC01,Session 2,random,996,corr
MSC01,Session 2,coherent,596,corr
MSC01,Session 2,coherent,725,corr
MSC01,Session 2,random,959,corr
MSC01,Session 2,coherent,868,corr
MSC01,Session 2,coherent,806,corr
MSC01,Session 2,random,755,corr
MSC01,Session 2,random,864,corr
MSC01,Session 2,random,675,corr
MSC01,Session 2,coherent,765,corr
MSC01,Session 2,coherent,1290,corr
MSC01,Session 2,coherent,929,corr
MSC01,Session 2,coherent,656,corr
MSC01,Session 2,random,838,corr
MSC01,Session 2,random,1082,corr
MSC01,Session 2,random,736,corr
MSC01,Session 2,coherent,469,err
MSC01,Session 2,random,880,corr
MSC01,Session 2,coherent,804,corr
MSC01,Session 2,random,820,corr
MSC01,Session 2,coherent,797,corr
MSC01,Session 2,coherent,1039,corr
MSC01,Session 2,random,873,corr
MSC01,Session 2,coherent,1006,corr
MSC01,Session 2,coherent,1061,corr
MSC01,Session 2,random,1120,corr
MSC01,Session 2,random,995,corr
MSC01,Session 2,random,1183,corr
MSC01,Session 2,coherent,1223,corr
MSC01,Session 3,random,885,corr
MSC01,Session 3,coherent,855,corr
MSC01,Session 3,random,849,corr
MSC01,Session 3,coherent,724,corr
MSC01,Session 3,coherent,863,corr
MSC01,Session 3,random,952,corr
MSC01,Session 3,random,827,corr
MSC01,Session 3,random,983,corr
MSC01,Session 3,coherent,734,corr
MSC01,Session 3,coherent,714,corr
MSC01,Session 3,coherent,727,corr
MSC01,Session 3,random,910,corr
MSC01,Session 3,coherent,664,corr
MSC01,Session 3,random,790,corr
MSC01,Session 3,random,866,corr
MSC01,Session 3,coherent,788,corr
MSC01,Session 3,coherent,671,corr
MSC01,Session 3,random,914,corr
MSC01,Session 3,random,879,corr
MSC01,Session 3,random,699,corr
MSC01,Session 3,coherent,818,corr
MSC01,Session 3,coherent,1011,corr
MSC01,Session 3,coherent,755,corr
MSC01,Session 3,random,876,corr
MSC01,Session 3,coherent,859,corr
MSC01,Session 3,random,756,corr
MSC01,Session 3,coherent,561,corr
MSC01,Session 3,coherent,723,corr
MSC01,Session 3,random,714,corr
MSC01,Session 3,random,969,corr
MSC01,Session 3,Noun,1193,corr
MSC01,Session 3,Noun,861,corr
MSC01,Session 3,Verb,858,corr
MSC01,Session 3,Verb,831,corr
MSC01,Session 3,Noun,1249,corr
MSC01,Session 3,Noun,1652,err
MSC01,Session 3,Verb,1028,corr
MSC01,Session 3,Verb,1700,err
MSC01,Session 3,Verb,1003,corr
MSC01,Session 3,Verb,928,corr
MSC01,Session 3,Verb,1059,corr
MSC01,Session 3,Noun,966,corr
MSC01,Session 3,Noun,1112,corr
MSC01,Session 3,Verb,1285,corr
MSC01,Session 3,Noun,1265,corr
MSC01,Session 3,Noun,1281,corr
MSC01,Session 3,Verb,1753,corr
MSC01,Session 3,Noun,1750,err
MSC01,Session 3,Noun,664,corr
MSC01,Session 3,Noun,1214,corr
MSC01,Session 3,Verb,1217,corr
MSC01,Session 3,Noun,854,corr
MSC01,Session 3,Verb,979,corr
MSC01,Session 3,Verb,882,corr
MSC01,Session 3,Noun,1686,corr
MSC01,Session 3,Noun,1148,corr
MSC01,Session 3,Verb,1297,corr
MSC01,Session 3,Verb,1152,corr
MSC01,Session 3,Verb,1096,corr
MSC01,Session 3,Noun,890,corr
MSC01,Session 3,Noun,1128,corr
MSC01,Session 3,Noun,1270,corr
MSC01,Session 3,Verb,1638,corr
MSC01,Session 3,Noun,901,corr
MSC01,Session 3,Noun,1004,corr
MSC01,Session 3,Verb,1326,corr
MSC01,Session 3,Verb,1432,corr
MSC01,Session 3,Verb,1202,corr
MSC01,Session 3,Noun,1554,corr
MSC01,Session 3,Verb,1173,corr
MSC01,Session 3,Verb,989,corr
MSC01,Session 3,Noun,1160,corr
MSC01,Session 3,Verb,1629,corr
MSC01,Session 3,Verb,1920,corr
MSC01,Session 3,Noun,1424,corr
MSC01,Session 3,Noun,852,corr
MSC01,Session 3,Noun,1321,corr
MSC01,Session 3,Verb,1083,corr
MSC01,Session 3,Verb,1283,corr
MSC01,Session 3,Noun,1325,corr
MSC01,Session 3,Noun,836,corr
MSC01,Session 3,Verb,1089,corr
MSC01,Session 3,Noun,1911,corr
MSC01,Session 3,Verb,1506,corr
MSC01,Session 3,Verb,997,corr
MSC01,Session 3,Noun,958,corr
MSC01,Session 3,Noun,1323,corr
MSC01,Session 3,Noun,1766,corr
MSC01,Session 3,Verb,1140,corr
MSC01,Session 3,Verb,1221,corr
MSC01,Session 3,random,862,corr
MSC01,Session 3,coherent,832,corr
MSC01,Session 3,coherent,789,corr
MSC01,Session 3,random,865,corr
MSC01,Session 3,coherent,756,corr
MSC01,Session 3,random,711,corr
MSC01,Session 3,random,752,corr
MSC01,Session 3,coherent,717,corr
MSC01,Session 3,coherent,733,corr
MSC01,Session 3,coherent,785,corr
MSC01,Session 3,coherent,792,corr
MSC01,Session 3,coherent,724,corr
MSC01,Session 3,random,986,corr
MSC01,Session 3,random,777,corr
MSC01,Session 3,random,1302,corr
MSC01,Session 3,random,843,corr
MSC01,Session 3,coherent,1381,corr
MSC01,Session 3,random,619,corr
MSC01,Session 3,coherent,802,corr
MSC01,Session 3,random,808,corr
MSC01,Session 3,coherent,747,corr
MSC01,Session 3,random,702,corr
MSC01,Session 3,random,700,corr
MSC01,Session 3,coherent,1082,corr
MSC01,Session 3,random,812,corr
MSC01,Session 3,random,813,corr
MSC01,Session 3,coherent,942,corr
MSC01,Session 3,coherent,765,err
MSC01,Session 3,coherent,1134,corr
MSC01,Session 3,random,892,corr
MSC01,Session 4,Noun,1466,err
MSC01,Session 4,Noun,1590,corr
MSC01,Session 4,Verb,1621,err
MSC01,Session 4,Noun,1094,corr
MSC01,Session 4,Verb,817,corr
MSC01,Session 4,Verb,1066,corr
MSC01,Session 4,Verb,1172,corr
MSC01,Session 4,Verb,1098,corr
MSC01,Session 4,Verb,1618,corr
MSC01,Session 4,Noun,1140,corr
MSC01,Session 4,Noun,923,corr
MSC01,Session 4,Noun,837,corr
MSC01,Session 4,Noun,957,corr
MSC01,Session 4,Verb,1081,corr
MSC01,Session 4,Noun,774,corr
MSC01,Session 4,Noun,1727,corr
MSC01,Session 4,Verb,1618,corr
MSC01,Session 4,Verb,1712,corr
MSC01,Session 4,Verb,1176,corr
MSC01,Session 4,Noun,1325,corr
MSC01,Session 4,Verb,864,corr
MSC01,Session 4,Noun,1245,corr
MSC01,Session 4,Verb,1382,corr
MSC01,Session 4,Noun,850,corr
MSC01,Session 4,Verb,870,corr
MSC01,Session 4,Noun,851,corr
MSC01,Session 4,Noun,1081,corr
MSC01,Session 4,Noun,919,corr
MSC01,Session 4,Verb,876,corr
MSC01,Session 4,Verb,851,corr
MSC01,Session 4,random,1069,corr
MSC01,Session 4,coherent,731,corr
MSC01,Session 4,random,925,corr
MSC01,Session 4,random,780,corr
MSC01,Session 4,coherent,955,corr
MSC01,Session 4,coherent,834,corr
MSC01,Session 4,coherent,963,corr
MSC01,Session 4,random,838,corr
MSC01,Session 4,random,744,corr
MSC01,Session 4,random,736,corr
MSC01,Session 4,coherent,741,corr
MSC01,Session 4,coherent,711,corr
MSC01,Session 4,random,758,corr
MSC01,Session 4,coherent,714,corr
MSC01,Session 4,random,904,corr
MSC01,Session 4,coherent,669,corr
MSC01,Session 4,random,801,corr
MSC01,Session 4,coherent,733,corr
MSC01,Session 4,random,742,corr
MSC01,Session 4,random,816,corr
MSC01,Session 4,coherent,725,corr
MSC01,Session 4,random,759,corr
MSC01,Session 4,coherent,790,corr
MSC01,Session 4,coherent,857,corr
MSC01,Session 4,coherent,623,corr
MSC01,Session 4,random,858,corr
MSC01,Session 4,coherent,947,corr
MSC01,Session 4,random,1022,corr
MSC01,Session 4,coherent,809,corr
MSC01,Session 4,random,981,corr
MSC01,Session 4,coherent,780,corr
MSC01,Session 4,random,758,corr
MSC01,Session 4,random,825,corr
MSC01,Session 4,coherent,786,corr
MSC01,Session 4,random,749,corr
MSC01,Session 4,coherent,695,corr
MSC01,Session 4,coherent,691,corr
MSC01,Session 4,random,681,corr
MSC01,Session 4,coherent,685,corr
MSC01,Session 4,random,807,corr
MSC01,Session 4,random,747,corr
MSC01,Session 4,random,700,corr
MSC01,Session 4,coherent,848,corr
MSC01,Session 4,coherent,827,corr
MSC01,Session 4,coherent,1029,corr
MSC01,Session 4,random,1109,corr
MSC01,Session 4,random,879,corr
MSC01,Session 4,random,857,corr
MSC01,Session 4,random,1018,corr
MSC01,Session 4,coherent,824,corr
MSC01,Session 4,coherent,760,corr
MSC01,Session 4,coherent,980,corr
MSC01,Session 4,random,817,corr
MSC01,Session 4,random,972,corr
MSC01,Session 4,coherent,920,corr
MSC01,Session 4,random,803,corr
MSC01,Session 4,random,1093,corr
MSC01,Session 4,coherent,750,corr
MSC01,Session 4,coherent,738,corr
MSC01,Session 4,coherent,707,corr
MSC01,Session 4,Noun,896,corr
MSC01,Session 4,Verb,773,corr
MSC01,Session 4,Noun,1155,corr
MSC01,Session 4,Noun,1068,corr
MSC01,Session 4,Noun,1175,corr
MSC01,Session 4,Verb,1874,corr
MSC01,Session 4,Verb,1453,corr
MSC01,Session 4,Verb,957,corr
MSC01,Session 4,Verb,1170,corr
MSC01,Session 4,Noun,888,corr
MSC01,Session 4,Noun,1665,corr
MSC01,Session 4,Verb,1307,corr
MSC01,Session 4,Verb,812,corr
MSC01,Session 4,Verb,1009,corr
MSC01,Session 4,Noun,1297,corr
MSC01,Session 4,Noun,1318,corr
MSC01,Session 4,Verb,836,corr
MSC01,Session 4,Verb,1203,corr
MSC01,Session 4,Verb,889,corr
MSC01,Session 4,Noun,906,corr
MSC01,Session 4,Noun,1934,corr
MSC01,Session 4,Noun,1434,corr
MSC01,Session 4,Verb,1134,corr
MSC01,Session 4,Verb,1184,corr
MSC01,Session 4,Verb,1699,corr
MSC01,Session 4,Verb,779,corr
MSC01,Session 4,Noun,1025,corr
MSC01,Session 4,Noun,943,corr
MSC01,Session 4,Noun,920,corr
MSC01,Session 4,Noun,957,corr
MSC01,Session 5,coherent,748,corr
MSC01,Session 5,coherent,840,corr
MSC01,Session 5,coherent,710,corr
