train_sub,test_sub,cv,cv_tpv,cv_rpv,ds,ds_tpv,ds_rpv
MSC01,MSC02,0.95,0.925,0.925,0.8115625,0.7633612112359591,0.8832807170357778
MSC01,MSC03,0.95,0.925,0.925,0.8128205128205128,0.763884015981587,0.880756460422504
MSC01,MSC04,0.95,0.925,0.925,0.75375,0.7176458851038289,0.8070348522501036
MSC01,MSC05,0.95,0.925,0.925,0.8096875,0.9300271390864859,0.7433601667212546
MSC01,MSC06,0.95,0.925,0.925,0.7512820512820513,0.8591443370819307,0.6990560933669572
MSC01,MSC07,0.95,0.925,0.925,0.5588607594936709,0.5281823764102964,1.0
MSC01,MSC10,0.95,0.925,0.925,0.5812499999999999,0.5630470058794799,0.6154235282108055
MSC02,MSC01,0.925,0.9,0.9,0.5725,0.9964285714285714,0.5391314133167053
MSC02,MSC03,0.925,0.9,0.9,0.7448717948717949,0.9102180764294608,0.6800698157177404
MSC02,MSC04,0.925,0.9,0.9,0.796875,0.8538161176583259,0.7562486394939771
MSC02,MSC05,0.925,0.9,0.9,0.821875,1.0,0.7388315498771746
MSC02,MSC06,0.925,0.9,0.9,0.6615384615384615,0.955319704804999,0.6044776912074236
MSC02,MSC07,0.925,0.9,0.9,0.5316455696202531,1.0,0.5195024273971642
MSC02,MSC10,0.925,0.9,0.9,0.73875,0.882577109283631,0.6740117305514225
MSC03,MSC01,1.0,1.0,1.0,0.7598684210526315,0.9158521900169497,0.6899996752534909
MSC03,MSC02,1.0,1.0,1.0,0.7730263157894737,0.6888796913947222,0.9991511035653651
MSC03,MSC04,1.0,1.0,1.0,0.775,0.8125557962703556,0.7464049365123959
MSC03,MSC05,1.0,1.0,1.0,0.8868421052631579,0.9288070316708088,0.8528344270260386
MSC03,MSC06,1.0,1.0,1.0,0.8670715249662618,0.8403324489509545,0.8965822444008039
MSC03,MSC07,1.0,1.0,1.0,0.617255163224517,0.6802875453145713,0.5894773629791772
MSC03,MSC10,1.0,1.0,1.0,0.4953947368421053,0.4969361343869763,0.4910458847515882
MSC04,MSC01,0.8875,0.8375,0.825,0.7275,0.9641605434039644,0.6512171831580444
MSC04,MSC02,0.8875,0.8375,0.825,0.8421875,0.8568022531201324,0.8291520776291055
MSC04,MSC03,0.8875,0.8375,0.825,0.7086538461538462,0.7077726293767316,0.7099210214323695
MSC04,MSC05,0.8875,0.8375,0.825,0.734375,0.9127928120697,0.6640595905772535
MSC04,MSC06,0.8875,0.8375,0.825,0.6544871794871795,1.0,0.5976291908860524
MSC04,MSC07,0.8875,0.8375,0.825,0.675,0.7635065905502305,0.6340825441979059
MSC04,MSC10,0.8875,0.8375,0.825,0.69375,0.7427667339524039,0.662016836350507
MSC05,MSC01,0.9375,0.9125,0.9,0.6734375,0.7725881823490519,0.6274499361644518
MSC05,MSC02,0.9375,0.9125,0.9,0.8453125,0.8105529563956059,0.8933298675278024
MSC05,MSC03,0.9375,0.9125,0.9,0.705448717948718,0.6232945652395051,1.0
MSC05,MSC04,0.9375,0.9125,0.9,0.6615625,0.6998814223111032,0.6359825324572177
MSC05,MSC06,0.9375,0.9125,0.9,0.8208333333333333,0.8088695248294882,0.8348299991354255
MSC05,MSC07,0.9375,0.9125,0.9,0.6737341772151899,0.7610033590821388,0.6330097737218309
MSC05,MSC10,0.9375,0.9125,0.9,0.6346875,0.6033739728449178,0.6937969191336822
MSC06,MSC01,0.9736842105263158,0.9736842105263158,0.9473684210526315,0.6608552631578948,0.8788475081126214,0.6027124466498905
MSC06,MSC02,0.9736842105263158,0.9736842105263158,0.9473684210526315,0.7125,0.974252117534666,0.6374622621738112
MSC06,MSC03,0.9736842105263158,0.9736842105263158,0.9473684210526315,0.8606612685560053,0.8622181231497673,0.8600714694213837
