train_sub,test_sub,cv,cv_tpv,cv_rpv,ds,ds_tpv,ds_rpv
MSC06,MSC04,0.9736842105263158,0.9736842105263158,0.9473684210526315,0.6542763157894737,1.0,0.591363642031356
MSC06,MSC05,0.9736842105263158,0.9736842105263158,0.9473684210526315,0.7940789473684211,0.932984767518619,0.7238277366800348
MSC06,MSC07,0.9736842105263158,0.9736842105263158,0.9473684210526315,0.5453031312458361,0.5660633728611417,0.5368622189366435
MSC06,MSC10,0.9736842105263158,0.9736842105263158,0.9473684210526315,0.5049342105263158,0.5035465945244284,0.5075452890082258
MSC07,MSC01,0.9358974358974359,0.9102564102564102,0.8974358974358975,0.782051282051282,0.8379056748981429,0.7449643987895015
MSC07,MSC02,0.9358974358974359,0.9102564102564102,0.8974358974358975,0.7224358974358974,0.6479209368126673,0.9572740740844947
MSC07,MSC03,0.9358974358974359,0.9102564102564102,0.8974358974358975,0.7235371466140696,0.7053032076824678,0.7437552853750861
MSC07,MSC04,0.9358974358974359,0.9102564102564102,0.8974358974358975,0.7698717948717949,0.7161223259002147,0.8661198155584798
MSC07,MSC05,0.9358974358974359,0.9102564102564102,0.8974358974358975,0.8044871794871795,0.8353666906551522,0.7793126504910396
MSC07,MSC06,0.9358974358974359,0.9102564102564102,0.8974358974358975,0.6870479947403024,0.7641355555556024,0.6498821456739529
MSC07,MSC10,0.9358974358974359,0.9102564102564102,0.8974358974358975,0.6772435897435898,0.6651376163805766,0.6929129421419252
MSC10,MSC01,0.85,0.7625,0.7875,0.6125,0.6079048956791199,0.6191491593911171
MSC10,MSC02,0.85,0.7625,0.7875,0.799375,0.8630609816317697,0.7573920628318523
MSC10,MSC03,0.85,0.7625,0.7875,0.5990384615384615,0.6091887869440031,0.5927900792440711
MSC10,MSC04,0.85,0.7625,0.7875,0.5571875,0.5317317562416451,0.806751443001443
MSC10,MSC05,0.85,0.7625,0.7875,0.62125,0.5782211270970639,0.7741511623892328
MSC10,MSC06,0.85,0.7625,0.7875,0.5618589743589744,0.6571007219904279,0.5448599424612739
MSC10,MSC07,0.85,0.7625,0.7875,0.6170886075949367,0.9430495892995893,0.570785204594289
