same_sub,diff_sub,train_sub
0.9,0.6021739130434782,MSC01
0.825,0.42427536231884055,MSC02
0.85,0.43011527377521613,MSC03
0.8250000000000001,0.6076086956521739,MSC04
0.9,0.48079710144927534,MSC05
0.825,0.5302593659942363,MSC06
0.875,0.5296242774566474,MSC07
0.675,0.4985507246376812,MSC10
