acc,test_sub
0.5525,MSC01
0.49000000000000005,MSC02
0.5989583333333334,MSC03
0.585,MSC04
0.48250000000000004,MSC05
0.3880208333333333,MSC06
0.6377551020408163,MSC07
0.5075,MSC10
