Task,f1,train,acc,Analysis
rest,0.9166666666666666,MSC01,0.84,Same Person
mem,0.8666666666666666,MSC01,0.84,Same Person
sem,0.8666666666666668,MSC01,0.84,Same Person
mot,0.5,MSC01,0.84,Same Person
glass,0.9,MSC01,0.84,Same Person
rest,0.7477676225700504,MSC01,0.6104347826086957,Different Person
mem,0.6683837565971749,MSC01,0.6104347826086957,Different Person
sem,0.49048620360778994,MSC01,0.6104347826086957,Different Person
mot,0.002857142857142857,MSC01,0.6104347826086957,Different Person
glass,0.7396427113529527,MSC01,0.6104347826086957,Different Person
rest,0.9333333333333332,MSC02,0.8200000000000001,Same Person
mem,0.9,MSC02,0.8200000000000001,Same Person
sem,0.7333333333333333,MSC02,0.8200000000000001,Same Person
mot,0.36666666666666664,MSC02,0.8200000000000001,Same Person
glass,0.8666666666666666,MSC02,0.8200000000000001,Same Person
rest,0.748199236418724,MSC02,0.4315942028985507,Different Person
mem,0.4752108588261737,MSC02,0.4315942028985507,Different Person
sem,0.14469623239776472,MSC02,0.4315942028985507,Different Person
mot,0.002816901408450705,MSC02,0.4315942028985507,Different Person
glass,0.22065311598295506,MSC02,0.4315942028985507,Different Person
rest,0.9166666666666666,MSC03,0.85,Same Person
mem,0.875,MSC03,0.85,Same Person
sem,0.625,MSC03,0.85,Same Person
mot,0.6666666666666667,MSC03,0.85,Same Person
glass,0.9375,MSC03,0.85,Same Person
rest,0.4555003216893669,MSC03,0.43011527377521613,Different Person
mem,0.5247314334504092,MSC03,0.43011527377521613,Different Person
sem,0.0035211267605633804,MSC03,0.43011527377521613,Different Person
mot,0.025,MSC03,0.43011527377521613,Different Person
glass,0.7101662445460026,MSC03,0.43011527377521613,Different Person
rest,0.9666666666666668,MSC04,0.9,Same Person
mem,0.9333333333333332,MSC04,0.9,Same Person
sem,0.8666666666666668,MSC04,0.9,Same Person
mot,0.6,MSC04,0.9,Same Person
glass,0.9666666666666666,MSC04,0.9,Same Person
rest,0.7103236809854592,MSC04,0.636231884057971,Different Person
mem,0.765872821918258,MSC04,0.636231884057971,Different Person
sem,0.3628148094260273,MSC04,0.636231884057971,Different Person
mot,0.19272768650477629,MSC04,0.636231884057971,Different Person
glass,0.7750788530045497,MSC04,0.636231884057971,Different Person
rest,0.8833333333333332,MSC05,0.88,Same Person
mem,0.9666666666666666,MSC05,0.88,Same Person
sem,0.9,MSC05,0.88,Same Person
mot,0.5,MSC05,0.88,Same Person
glass,0.9666666666666668,MSC05,0.88,Same Person
rest,0.6378955160677968,MSC05,0.5599999999999999,Different Person
mem,0.6345505310462354,MSC05,0.5599999999999999,Different Person
sem,0.5573101576344431,MSC05,0.5599999999999999,Different Person
mot,0.022776659959758555,MSC05,0.5599999999999999,Different Person
glass,0.6376560813024861,MSC05,0.5599999999999999,Different Person
rest,0.8333333333333335,MSC06,0.8,Same Person
mem,0.9259259259259258,MSC06,0.8,Same Person
sem,0.5555555555555556,MSC06,0.8,Same Person
mot,0.4074074074074074,MSC06,0.8,Same Person
glass,0.9629629629629631,MSC06,0.8,Same Person
rest,0.6282491750225733,MSC06,0.5408261287223823,Different Person
mem,0.621609463326992,MSC06,0.5408261287223823,Different Person
sem,0.3686867700795913,MSC06,0.5408261287223823,Different Person
mot,0.003129890453834116,MSC06,0.5408261287223823,Different Person
glass,0.7055397455401874,MSC06,0.5408261287223823,Different Person
rest,1.0,MSC07,0.8666666666666667,Same Person
mem,0.8518518518518519,MSC07,0.8666666666666667,Same Person
sem,0.9259259259259258,MSC07,0.8666666666666667,Same Person
mot,0.3333333333333333,MSC07,0.8666666666666667,Same Person
glass,1.0,MSC07,0.8666666666666667,Same Person
rest,0.6243476273493996,MSC07,0.5398201669877971,Different Person
mem,0.6836206818987678,MSC07,0.5398201669877971,Different Person
sem,0.16019832861938127,MSC07,0.5398201669877971,Different Person
mot,0.046565610473257274,MSC07,0.5398201669877971,Different Person
glass,0.682441323192382,MSC07,0.5398201669877971,Different Person
rest,0.8333333333333333,MSC10,0.72,Same Person
mem,0.6833333333333333,MSC10,0.72,Same Person
sem,0.36666666666666664,MSC10,0.72,Same Person
mot,0.4333333333333333,MSC10,0.72,Same Person
glass,0.9,MSC10,0.72,Same Person
rest,0.6025210825194534,MSC10,0.5408695652173913,Different Person
mem,0.6398338896882316,MSC10,0.5408695652173913,Different Person
sem,0.3637358986649203,MSC10,0.5408695652173913,Different Person
mot,0.05610663983903421,MSC10,0.5408695652173913,Different Person
glass,0.6908819471447938,MSC10,0.5408695652173913,Different Person
