train_sub,test_sub,same_sub,SS_tpv,SS_rpv,diff_sub,OS_tpv,OS_rpv
MSC01,MSC02,0.9875,0.98,1.0,0.5375,0.5208799639179386,1.0
MSC01,MSC03,0.9875,0.98,1.0,0.5192307692307692,0.5042910422910423,0.9256410256410257
MSC01,MSC04,0.9875,0.98,1.0,0.685,0.6151574397290329,0.9954545454545455
MSC01,MSC05,0.9875,0.98,1.0,0.65125,0.596385109209884,1.0
MSC01,MSC06,0.9875,0.98,1.0,0.8102564102564103,0.7276945786157772,0.9923076923076923
MSC01,MSC07,0.9875,0.98,1.0,0.5050632911392405,0.49946835443037974,
MSC01,MSC10,0.9875,0.98,1.0,0.54,0.5231434075656207,0.9944444444444445
MSC02,MSC01,0.975,0.96,1.0,0.90875,0.9525268971224854,0.8784557765443519
MSC02,MSC03,0.975,0.96,1.0,0.8141025641025641,0.733241268454533,0.9829646697388633
MSC02,MSC04,0.975,0.96,1.0,0.9175,0.8754815597838854,0.9724431574431575
MSC02,MSC05,0.975,0.96,1.0,0.94375,0.9168858163054074,0.9763460887145098
MSC02,MSC06,0.975,0.96,1.0,0.9076923076923077,0.8788960271609915,0.9503212415286718
MSC02,MSC07,0.975,0.96,1.0,0.7354430379746836,0.656743144694635,0.9956521739130435
MSC02,MSC10,0.975,0.96,1.0,0.7825,0.7895625714155126,0.7879917184265011
MSC03,MSC01,0.96875,0.9583333333333334,1.0,0.8328125,0.9295054727658414,0.7880228876597479
MSC03,MSC02,0.96875,0.9583333333333334,1.0,0.703125,0.641195049163419,0.9823598301859171
MSC03,MSC04,0.96875,0.9583333333333334,1.0,0.815625,0.7952139718908011,0.8501755189255189
MSC03,MSC05,0.96875,0.9583333333333334,1.0,0.846875,0.7709178600092814,1.0
MSC03,MSC06,0.96875,0.9583333333333334,1.0,0.8076923076923077,0.8463020342495166,0.7922576150504028
MSC03,MSC07,0.96875,0.9583333333333334,1.0,0.7784810126582279,0.8399591392030908,0.7562445767965413
MSC03,MSC10,0.96875,0.9583333333333334,1.0,0.8484375,0.890692336004836,0.8262699332353043
MSC04,MSC01,0.9875,0.98,1.0,0.60875,0.562352788289924,1.0
MSC04,MSC02,0.9875,0.98,1.0,0.5425,0.5227914007961141,0.9769230769230769
MSC04,MSC03,0.9875,0.98,1.0,0.5846153846153846,0.5403517016651805,1.0
MSC04,MSC05,0.9875,0.98,1.0,0.9087500000000001,0.8502022865381765,0.9973684210526316
MSC04,MSC06,0.9875,0.98,1.0,0.7833333333333333,0.6953362696195372,1.0
MSC04,MSC07,0.9875,0.98,1.0,0.6151898734177215,0.5631391325334334,1.0
MSC04,MSC10,0.9875,0.98,1.0,0.65375,0.5912409947256495,1.0
MSC05,MSC01,0.9875,0.98,1.0,0.6825,0.6168352125355695,0.9305357757137943
MSC05,MSC02,0.9875,0.98,1.0,0.57875,0.5434558874819184,0.9734848484848485
MSC05,MSC03,0.9875,0.98,1.0,0.7576923076923077,0.6711522174102377,0.996551724137931
MSC05,MSC04,0.9875,0.98,1.0,0.8475,0.7897725698975242,0.9412986067619484
MSC05,MSC06,0.9875,0.98,1.0,0.8012820512820513,0.7231196012372121,0.9499594017094017
MSC05,MSC07,0.9875,0.98,1.0,0.669620253164557,0.6045036952061206,0.9405948059804684
MSC05,MSC10,0.9875,0.98,1.0,0.73625,0.6679544671656822,0.9083438991459981
MSC06,MSC01,0.9722222222222222,0.9629629629629629,1.0,0.8125,0.7400898018121238,0.9891969048155661
MSC06,MSC02,0.9722222222222222,0.9629629629629629,1.0,0.8791666666666667,0.8643570347599593,0.9142679970940841
MSC06,MSC03,0.9722222222222222,0.9629629629629629,1.0,0.745014245014245,0.6631088690117088,0.9871668249446027
MSC06,MSC04,0.9722222222222222,0.9629629629629629,1.0,0.8944444444444445,0.8328258992819428,1.0
MSC06,MSC05,0.9722222222222222,0.9629629629629629,1.0,0.9527777777777778,0.9468140643791392,0.9655474440888185
MSC06,MSC07,0.9722222222222222,0.9629629629629629,1.0,0.5766526019690577,0.5402554694224999,
MSC06,MSC10,0.9722222222222222,0.9629629629629629,1.0,0.6430555555555556,0.5856552152366332,1.0
MSC07,MSC01,0.9861111111111112,0.9777777777777777,1.0,0.7944444444444444,0.713939988210772,1.0
MSC07,MSC02,0.9861111111111112,0.9777777777777777,1.0,0.8125,0.7483966455801031,0.9515170859736077
MSC07,MSC03,0.9861111111111112,0.9777777777777777,1.0,0.6552706552706553,0.606127575025291,0.7654244949897124
MSC07,MSC04,0.9861111111111112,0.9777777777777777,1.0,0.8694444444444445,0.8451468343247209,0.9045916851455407
MSC07,MSC05,0.9861111111111112,0.9777777777777777,1.0,0.9055555555555556,0.9103797127591186,0.9089743719326397
MSC07,MSC06,0.9861111111111112,0.9777777777777777,1.0,0.8233618233618234,0.9258867808436774,0.7683036807371069
MSC07,MSC10,0.9861111111111112,0.9777777777777777,1.0,0.7791666666666667,0.7380607066254581,0.8472474391203535
MSC10,MSC01,0.9625,0.96,0.98,0.55125,0.5272190116266667,1.0
MSC10,MSC02,0.9625,0.96,0.98,0.58875,0.550922841280356,0.9143822843822844
MSC10,MSC03,0.9625,0.96,0.98,0.5794871794871794,0.5372325247624856,1.0
MSC10,MSC04,0.9625,0.96,0.98,0.7,0.6270990026132227,0.9844736842105263
MSC10,MSC05,0.9625,0.96,0.98,0.6725,0.6062507743680271,1.0
MSC10,MSC06,0.9625,0.96,0.98,0.767948717948718,0.6831434493550178,0.9932183908045977
MSC10,MSC07,0.9625,0.96,0.98,0.6886075949367089,0.6242736023645598,0.8744950155362055
