train_sub,test_sub,cv,cv_tpv,cv_rpv,ds,ds_tpv,ds_rpv
MSC01,MSC02,0.875,0.7875,0.8625,0.8125,0.7617836776037326,0.892469025205176
MSC01,MSC03,0.875,0.7875,0.8625,0.6939102564102564,0.6253267859115367,0.8871312533673383
MSC01,MSC04,0.875,0.7875,0.8625,0.7971875,0.7861910006861672,0.8120938316609804
MSC01,MSC05,0.875,0.7875,0.8625,0.86375,0.9170958134686625,0.8238861916350998
MSC01,MSC06,0.875,0.7875,0.8625,0.7631410256410256,0.8819005874983199,0.7076707977923229
MSC01,MSC07,0.875,0.7875,0.8625,0.5867088607594937,0.5449490102913767,0.9875610500610501
MSC01,MSC10,0.875,0.7875,0.8625,0.6259375,0.5903151687507134,0.7125099791125341
MSC02,MSC01,0.8625,0.8,0.7875,0.7115625,0.76044740437494,0.6795954876559777
MSC02,MSC03,0.8625,0.8,0.7875,0.7903846153846154,0.8388058621131333,0.760272152599249
MSC02,MSC04,0.8625,0.8,0.7875,0.7696875,0.8162108561393231,0.7380407198040203
MSC02,MSC05,0.8625,0.8,0.7875,0.9134375,0.9875958360442454,0.8609134727448096
MSC02,MSC06,0.8625,0.8,0.7875,0.6573717948717949,0.9962912087912088,0.6007363848273204
MSC02,MSC07,0.8625,0.8,0.7875,0.55,0.9964285714285714,0.5296066033624613
MSC02,MSC10,0.8625,0.8,0.7875,0.7525,0.786503401556501,0.7275217259720144
MSC03,MSC01,0.9736842105263158,0.9473684210526315,0.9736842105263158,0.81875,0.8338098052623389,0.8069802668610193
MSC03,MSC02,0.9736842105263158,0.9473684210526315,0.9736842105263158,0.8174342105263158,0.7628092184839226,0.9069723963310921
MSC03,MSC04,0.9736842105263158,0.9473684210526315,0.9736842105263158,0.7394736842105263,0.7305620997503788,0.7529397581551126
MSC03,MSC05,0.9736842105263158,0.9473684210526315,0.9736842105263158,0.8302631578947368,0.9015478628206113,0.7815044227536284
MSC03,MSC06,0.9736842105263158,0.9473684210526315,0.9736842105263158,0.9132928475033738,0.901502052040867,0.9258876936415616
MSC03,MSC07,0.9736842105263158,0.9473684210526315,0.9736842105263158,0.6232511658894071,0.6100872560612866,0.6393951449987405
MSC03,MSC10,0.9736842105263158,0.9473684210526315,0.9736842105263158,0.5388157894736842,0.5244995416010927,0.5982619158567257
MSC04,MSC01,0.8875,0.825,0.8375,0.6821875000000001,1.0,0.6121079048920819
MSC04,MSC02,0.8875,0.825,0.8375,0.784375,0.8751097070608231,0.7300188451464177
MSC04,MSC03,0.8875,0.825,0.8375,0.705448717948718,0.6771642205179298,0.7402616455529699
MSC04,MSC05,0.8875,0.825,0.8375,0.830625,0.9445633079541569,0.7645178260528491
MSC04,MSC06,0.8875,0.825,0.8375,0.6134615384615385,1.0,0.5704848641749047
MSC04,MSC07,0.8875,0.825,0.8375,0.6376582278481013,0.7852856411519338,0.594259120507746
MSC04,MSC10,0.8875,0.825,0.8375,0.7084375,0.8014002048582725,0.6615284640362257
MSC05,MSC01,0.95,0.9125,0.9375,0.5915625,0.5940761889674111,0.5904102024776536
MSC05,MSC02,0.95,0.9125,0.9375,0.8134375,0.9537078978137914,0.7426200375820601
MSC05,MSC03,0.95,0.9125,0.9375,0.7410256410256411,0.6533990970800791,1.0
MSC05,MSC04,0.95,0.9125,0.9375,0.57875,0.6531069027469367,0.5535892542490378
MSC05,MSC06,0.95,0.9125,0.9375,0.7830128205128205,0.7422603312520957,0.8439751421265269
MSC05,MSC07,0.95,0.9125,0.9375,0.5939873417721518,0.695711901631482,0.5652101233998654
MSC05,MSC10,0.95,0.9125,0.9375,0.6984374999999999,0.6666373131884807,0.7492990132787345
MSC06,MSC01,0.9736842105263158,0.9605263157894737,0.9605263157894737,0.6888157894736842,0.8665603714889143,0.6279388966020567
