train_sub,test_sub,cv,cv_tpv,cv_rpv,ds,ds_tpv,ds_rpv
MSC06,MSC02,0.9736842105263158,0.9605263157894737,0.9605263157894737,0.6644736842105263,0.9972222222222222,0.599116415479185
MSC06,MSC03,0.9736842105263158,0.9605263157894737,0.9605263157894737,0.8201754385964912,0.7996345256935757,0.8425747597181761
MSC06,MSC04,0.9736842105263158,0.9605263157894737,0.9605263157894737,0.7269736842105263,0.9351321717596487,0.6543468454467884
MSC06,MSC05,0.9736842105263158,0.9605263157894737,0.9605263157894737,0.84375,0.907836868703745,0.7991182958560439
MSC06,MSC07,0.9736842105263158,0.9605263157894737,0.9605263157894737,0.5676215856095936,0.5658609795835801,0.5705063033580909
MSC06,MSC10,0.9736842105263158,0.9605263157894737,0.9605263157894737,0.4963815789473684,0.49800706867192707,0.4843594359400128
MSC07,MSC01,0.9358974358974359,0.9102564102564102,0.8974358974358975,0.8214743589743589,0.906615452835729,0.7687031167404058
MSC07,MSC02,0.9358974358974359,0.9102564102564102,0.8974358974358975,0.7564102564102564,0.7148659697761813,0.8241308593667889
MSC07,MSC03,0.9358974358974359,0.9102564102564102,0.8974358974358975,0.6554898093359632,0.6813263003452539,0.6391904711177443
MSC07,MSC04,0.9358974358974359,0.9102564102564102,0.8974358974358975,0.7894230769230769,0.7543659033603953,0.8453524583721723
MSC07,MSC05,0.9358974358974359,0.9102564102564102,0.8974358974358975,0.7131410256410257,0.8663905680182157,0.6505052037827384
MSC07,MSC06,0.9358974358974359,0.9102564102564102,0.8974358974358975,0.6738987508218277,0.7654068699669575,0.6356505280524113
MSC07,MSC10,0.9358974358974359,0.9102564102564102,0.8974358974358975,0.7086538461538462,0.7621367809163072,0.6750507652541438
MSC10,MSC01,0.875,0.8125,0.8125,0.5628125,0.5479749903340886,0.5930873864567052
MSC10,MSC02,0.875,0.8125,0.8125,0.716875,0.6972396864682746,0.7486145755663637
MSC10,MSC03,0.875,0.8125,0.8125,0.5288461538461539,0.5169562628870298,0.5380045773767704
MSC10,MSC04,0.875,0.8125,0.8125,0.5240625,0.5126627277341801,0.7495833333333334
MSC10,MSC05,0.875,0.8125,0.8125,0.6012500000000001,0.560697571018283,0.8438891534367877
MSC10,MSC06,0.875,0.8125,0.8125,0.5189102564102565,0.5191542243475894,0.519941714946973
MSC10,MSC07,0.875,0.8125,0.8125,0.6575949367088607,0.9790590659340659,0.5979686226715953
