sub,sess,rating,rt,corr
MSC01,Session 1,female,1054,corr
MSC01,Session 1,female,622,corr
MSC01,Session 1,female,993,corr
MSC01,Session 1,female,721,corr
MSC01,Session 1,female,816,corr
MSC01,Session 1,indoor,978,corr
MSC01,Session 1,indoor,730,corr
MSC01,Session 1,indoor,849,corr
MSC01,Session 1,outdoor,909,corr
MSC01,Session 1,outdoor,1533,corr
MSC01,Session 1,outdoor,983,corr
MSC01,Session 1,indoor,1126,corr
MSC01,Session 1,indoor,636,corr
MSC01,Session 1,indoor,771,corr
MSC01,Session 1,outdoor,1174,corr
MSC01,Session 1,outdoor,922,corr
MSC01,Session 1,outdoor,619,corr
MSC01,Session 1,outdoor,1064,corr
MSC01,Session 1,outdoor,1421,corr
MSC01,Session 1,outdoor,868,corr
MSC01,Session 1,outdoor,802,corr
MSC01,Session 1,outdoor,898,corr
MSC01,Session 1,outdoor,731,corr
MSC01,Session 1,indoor,930,corr
MSC01,Session 1,indoor,930,corr
MSC01,Session 1,indoor,935,corr
MSC01,Session 1,indoor,1145,corr
MSC01,Session 1,indoor,1225,corr
MSC01,Session 1,indoor,1709,corr
MSC01,Session 1,indoor,1238,corr
MSC01,Session 1,indoor,864,corr
MSC01,Session 1,indoor,787,corr
MSC01,Session 1,outdoor,1217,err
MSC01,Session 1,outdoor,735,err
MSC01,Session 1,outdoor,858,err
MSC01,Session 1,indoor,1199,corr
MSC01,Session 1,indoor,915,corr
MSC01,Session 1,indoor,796,corr
MSC01,Session 1,indoor,919,corr
MSC01,Session 1,indoor,1321,corr
MSC01,Session 1,indoor,905,corr
MSC01,Session 1,outdoor,1073,corr
MSC01,Session 1,outdoor,846,corr
MSC01,Session 1,outdoor,786,corr
MSC01,Session 1,indoor,887,corr
MSC01,Session 1,indoor,1012,corr
MSC01,Session 1,indoor,655,corr
MSC01,Session 1,outdoor,704,corr
MSC01,Session 1,outdoor,959,corr
MSC01,Session 1,outdoor,801,corr
MSC01,Session 1,indoor,1494,corr
MSC01,Session 1,indoor,911,corr
MSC01,Session 1,indoor,756,corr
MSC01,Session 1,indoor,923,corr
MSC01,Session 1,indoor,787,corr
MSC01,Session 1,indoor,778,corr
MSC01,Session 1,outdoor,631,corr
MSC01,Session 1,outdoor,1157,corr
MSC01,Session 1,outdoor,987,corr
MSC01,Session 1,outdoor,797,corr
MSC01,Session 1,outdoor,914,corr
MSC01,Session 1,outdoor,868,corr
MSC01,Session 1,indoor,1031,corr
MSC01,Session 1,indoor,842,corr
MSC01,Session 1,indoor,929,corr
MSC01,Session 1,outdoor,983,corr
MSC01,Session 1,outdoor,736,corr
MSC01,Session 1,outdoor,772,corr
MSC01,Session 1,outdoor,855,corr
MSC01,Session 1,outdoor,1070,corr
MSC01,Session 1,outdoor,640,corr
MSC01,Session 1,outdoor,1471,corr
MSC01,Session 1,outdoor,1183,corr
MSC01,Session 1,outdoor,784,corr
