mem,AllGlass,AllSemantic,rest,motor
313,123,138,523,102
284,124,133,717,118
316,98,125,732,85
316,132,96,778,96
266,97,110,710,85
196,81,91,531,96
301,109,117,551,86
281,113,104,670,111
201,27,45,420,47
303,93,121,635,97
