sess,MSC01,MSC02,MSC03,MSC04,MSC05,MSC06,MSC07,MSC10
0,313,319,340,288,331,315,334,269
1,284,331,327,341,326,336,332,168
2,316,314,329,164,336,342,335,283
3,316,321,233,280,340,344,336,282
4,266,340,124,338,336,340,299,267
5,196,297,0,312,314,342,328,90
6,301,333,120,332,333,344,338,134
7,281,321,0,328,332,230,339,285
8,201,339,143,331,339,330,323,303
9,303,308,107,332,338,342,302,322
