mem,AllGlass,AllSemantic,rest,motor
319,104,101,531,118
331,126,117,793,103
314,131,109,780,134
321,106,97,789,132
340,121,100,650,132
297,80,106,535,139
333,95,72,812,134
321,134,141,795,132
339,137,135,798,127
308,128,131,767,130
