sess,MSC01,MSC02,MSC03,MSC04,MSC05,MSC06,MSC07,MSC10
0,138,101,141,130,109,118,141,107
1,133,117,133,86,137,112,134,81
2,125,109,119,127,137,140,141,132
3,96,97,120,81,127,140,140,105
4,110,100,117,122,124,135,131,115
5,91,106,72,91,119,138,135,132
6,117,72,122,136,136,121,114,41
7,104,141,19,129,120,48,135,77
8,45,135,80,130,122,141,140,136
9,121,131,123,124,111,134,125,96
