mem,AllGlass,AllSemantic,rest,motor
340,137,141,699,126
327,124,133,796,130
329,89,119,756,96
233,78,120,645,134
124,124,117,534,77
0,52,72,364,71
120,99,122,475,81
0,27,19,535,114
143,78,80,661,94
107,108,123,710,98
