mem,AllGlass,AllSemantic,rest,motor
288,128,130,722,105
341,92,86,739,118
164,101,127,183,64
280,105,81,360,96
338,128,122,728,136
312,62,91,695,76
332,136,136,780,122
328,125,129,772,127
331,132,130,744,120
332,103,124,643,130
