mem,AllGlass,AllSemantic,rest,motor
269,115,107,511,95
168,76,81,158,84
283,127,132,433,138
282,120,105,743,115
267,104,115,628,99
90,135,132,336,116
134,75,41,545,85
285,67,77,526,92
303,134,136,766,138
322,72,96,643,130
