sess,MSC01,MSC02,MSC03,MSC04,MSC05,MSC06,MSC07,MSC10
0,123,104,137,128,117,139,128,115
1,124,126,124,92,128,138,134,76
2,98,131,89,101,138,140,125,127
3,132,106,78,105,137,133,141,120
4,97,121,124,128,124,142,135,104
5,81,80,52,62,137,135,127,135
6,109,95,99,136,142,139,139,75
7,113,134,27,125,108,0,140,67
8,27,137,78,132,137,130,137,134
9,93,128,108,103,107,128,116,72
