mem,AllGlass,AllSemantic,rest,motor
331,117,109,685,128
326,128,137,740,115
336,138,137,645,105
340,137,127,767,129
336,124,124,769,105
314,137,119,642,62
333,142,136,768,119
332,108,120,712,86
339,137,122,744,119
338,107,111,789,92
