mem,AllGlass,AllSemantic,rest,motor
334,128,141,455,67
332,134,134,691,85
335,125,141,666,61
336,141,140,399,78
299,135,131,623,87
328,127,135,430,0
338,139,114,796,92
339,140,135,804,98
323,137,140,645,107
302,116,125,554,61
