train_sub,test_sub,task,diff_sub,same_sub,OS_TPV,OS_RPV,SS_TPV,SS_RPV
MSC04,MSC03,pres2,0.6833333333333333,0.8,1.0,0.6379901960784313,,0.8
MSC04,MSC03,pres3,0.8722222222222222,0.85,0.9708333333333333,0.8285031635031636,,0.85
MSC04,MSC05,pres1,0.59,0.9,,0.550687994496044,,0.9
MSC04,MSC05,pres2,0.51,0.8,,0.5052631578947369,,0.8
MSC04,MSC05,pres3,0.645,0.85,1.0,0.5904034690799397,,0.85
MSC04,MSC06,pres1,0.665,0.9,1.0,0.6013243894048848,,0.9
MSC04,MSC06,pres2,0.6,0.8,1.0,0.5562435500515996,,0.8
MSC04,MSC06,pres3,0.8,0.85,1.0,0.7157509157509158,,0.85
MSC04,MSC07,pres1,0.79,0.9,1.0,0.7153461734344088,,0.9
MSC04,MSC07,pres2,0.56,0.8,1.0,0.5321637426900585,,0.8
MSC04,MSC07,pres3,0.55,0.85,,0.5269005847953216,,0.85
MSC04,MSC10,pres1,0.94,0.9,1.0,0.8966200466200466,,0.9
MSC04,MSC10,pres2,0.695,0.8,1.0,0.6250405425328026,,0.8
MSC04,MSC10,pres3,0.78,0.85,1.0,0.6959706959706959,,0.85
MSC05,MSC01,pres1,0.77,1.0,1.0,0.6930268261150614,1.0,1.0
MSC05,MSC01,pres2,0.62,1.0,,0.5753028404344194,1.0,1.0
MSC05,MSC01,pres3,0.5,0.95,,0.5,,0.95
MSC05,MSC02,pres1,0.9199999999999999,1.0,1.0,0.8674825174825175,1.0,1.0
MSC05,MSC02,pres2,0.76,1.0,1.0,0.6761904761904761,1.0,1.0
MSC05,MSC02,pres3,0.515,0.95,,0.508187134502924,,0.95
MSC05,MSC03,pres1,0.9222222222222222,1.0,1.0,0.882983682983683,1.0,1.0
MSC05,MSC03,pres2,0.8111111111111111,1.0,1.0,0.747985347985348,1.0,1.0
MSC05,MSC03,pres3,0.5555555555555556,0.95,,0.5555555555555556,,0.95
MSC05,MSC04,pres1,0.66,1.0,1.0,0.598797852474323,1.0,1.0
MSC05,MSC04,pres2,0.665,1.0,1.0,0.6008341933264534,1.0,1.0
