train_sub,test_sub,task,diff_sub,same_sub,OS_TPV,OS_RPV,SS_TPV,SS_RPV
MSC01,MSC02,glass,0.5650000000000001,0.9,,0.5357241142070863,,0.9
MSC01,MSC02,semantic,0.87,0.95,0.9777777777777777,0.8094696969696971,,0.95
MSC01,MSC02,motor,0.9249999999999999,1.0,0.902987012987013,0.9592307692307692,1.0,1.0
MSC01,MSC02,mem,0.895,1.0,0.8280885780885782,1.0,1.0,1.0
MSC01,MSC03,glass,0.515,0.9,,0.508187134502924,,0.9
MSC01,MSC03,semantic,0.7999999999999999,0.95,,0.7278846153846155,,0.95
MSC01,MSC03,motor,0.9249999999999999,1.0,1.0,0.8723776223776224,1.0,1.0
MSC01,MSC03,mem,0.7444444444444445,1.0,0.6404395604395604,1.0,1.0,1.0
MSC01,MSC04,glass,0.65,0.9,,0.5916021671826626,,0.9
MSC01,MSC04,semantic,0.695,0.95,1.0,0.6256357806280407,,0.95
MSC01,MSC04,motor,0.995,1.0,1.0,0.990909090909091,1.0,1.0
MSC01,MSC04,mem,0.89,1.0,0.8205128205128206,1.0,1.0,1.0
MSC01,MSC05,glass,0.55,0.9,,0.5266081871345029,,0.9
MSC01,MSC05,semantic,0.615,0.95,1.0,0.5660474716202271,,0.95
MSC01,MSC05,motor,0.885,1.0,1.0,0.8178321678321678,1.0,1.0
MSC01,MSC05,mem,0.98,1.0,1.0,0.9636363636363636,1.0,1.0
MSC01,MSC06,glass,0.5263157894736842,0.9,,0.5263157894736842,,0.9
MSC01,MSC06,semantic,0.55,0.95,1.0,0.5263157894736842,,0.95
MSC01,MSC06,motor,0.7526315789473684,1.0,,0.6874301137459032,1.0,1.0
MSC01,MSC06,mem,0.96,1.0,1.0,0.9272727272727272,1.0,1.0
MSC01,MSC07,glass,0.95,0.9,1.0,0.9183982683982684,,0.9
MSC01,MSC07,semantic,1.0,0.95,1.0,1.0,,0.95
MSC01,MSC07,motor,0.968421052631579,1.0,0.9400000000000001,1.0,1.0,1.0
MSC01,MSC07,mem,0.73,1.0,0.6551470588235294,1.0,1.0,1.0
MSC01,MSC10,glass,0.5700000000000001,0.9,,0.5386480908152734,,0.9
MSC01,MSC10,semantic,0.645,0.95,,0.5917072091994693,,0.95
MSC01,MSC10,motor,0.985,1.0,1.0,0.9742424242424242,1.0,1.0
MSC01,MSC10,mem,0.94,1.0,0.9006060606060606,0.99,1.0,1.0
MSC02,MSC01,glass,0.5,0.8,,0.5,,0.8
MSC02,MSC01,semantic,0.505,0.95,,0.5026315789473684,,0.95
MSC02,MSC01,motor,0.5,0.95,,0.5,,0.95
MSC02,MSC01,mem,0.975,1.0,0.956060606060606,1.0,1.0,1.0
MSC02,MSC03,glass,0.5,0.8,,0.5,,0.8
MSC02,MSC03,semantic,0.51,0.95,,0.5052631578947369,,0.95
MSC02,MSC03,motor,0.725,0.95,1.0,0.6472222222222221,,0.95
MSC02,MSC03,mem,0.7611111111111111,1.0,0.661018981018981,1.0,1.0,1.0
MSC02,MSC04,glass,0.505,0.8,,0.5026315789473684,,0.8
MSC02,MSC04,semantic,0.5,0.95,,0.5,,0.95
MSC02,MSC04,motor,0.58,0.95,,0.5447884416924664,,0.95
MSC02,MSC04,mem,0.985,1.0,0.9727272727272727,1.0,1.0,1.0
MSC02,MSC05,glass,0.505,0.8,,0.5026315789473684,,0.8
MSC02,MSC05,semantic,0.5,0.95,,0.5,,0.95
MSC02,MSC05,motor,0.575,0.95,,0.5422084623323014,,0.95
MSC02,MSC05,mem,0.96,1.0,0.9303030303030303,1.0,1.0,1.0
MSC02,MSC06,glass,0.5263157894736842,0.8,,0.5263157894736842,,0.8
MSC02,MSC06,semantic,0.585,0.95,1.0,0.5471276229790162,,0.95
MSC02,MSC06,motor,0.5789473684210527,0.95,1.0,0.5555555555555556,,0.95
MSC02,MSC06,mem,0.965,1.0,1.0,0.9363636363636363,1.0,1.0
MSC02,MSC07,glass,0.61,0.8,,0.5736627106983144,,0.8
MSC02,MSC07,semantic,0.665,0.95,0.9888888888888889,0.607961972667855,,0.95
MSC02,MSC07,motor,0.5263157894736842,0.95,,0.5263157894736842,,0.95
MSC02,MSC07,mem,0.8999999999999999,1.0,0.8542568542568543,1.0,1.0,1.0
MSC02,MSC10,glass,0.5,0.8,,0.5,,0.8
MSC02,MSC10,semantic,0.5,0.95,,0.5,,0.95
MSC02,MSC10,motor,0.53,0.95,,0.5160818713450293,,0.95
MSC02,MSC10,mem,0.975,1.0,0.990909090909091,0.9636363636363636,1.0,1.0
MSC03,MSC01,glass,0.5,0.9,,0.5,,0.9
MSC03,MSC01,semantic,0.5,0.9,,0.5,,0.9
MSC03,MSC01,motor,0.705,0.95,,0.6382209293973999,,0.95
MSC03,MSC01,mem,0.64375,0.9375,,0.6034669449917128,,0.9375
MSC03,MSC02,glass,0.5,0.9,,0.5,,0.9
MSC03,MSC02,semantic,0.5,0.9,,0.5,,0.9
MSC03,MSC02,motor,0.98,0.95,1.0,0.9636363636363636,,0.95
MSC03,MSC02,mem,0.8875,0.9375,1.0,0.8362418831168831,,0.9375
MSC03,MSC04,glass,0.5,0.9,,0.5,,0.9
MSC03,MSC04,semantic,0.5,0.9,,0.5,,0.9
MSC03,MSC04,motor,0.9349999999999999,0.95,1.0,0.8875291375291375,,0.95
