subs,Analysis,acc
INET018,SS,1.0
INET016,SS,0.9791666666666666
INET051,SS,1.0
INET045,SS,1.0
INET041,SS,1.0
INET047,SS,0.9772727272727273
INET047,SS,0.8636363636363636
INET018,SS,1.0
INET044,SS,1.0
INET051,SS,1.0
INET005,SS,1.0
INET045,SS,1.0
INET019,SS,1.0
INET003,SS,1.0
INET006,SS,0.9772727272727273
INET047,SS,0.9545454545454546
INET050,SS,0.9791666666666666
INET006,SS,0.9545454545454546
INET005,SS,1.0
INET045,SS,1.0
INET005,SS,1.0
INET034,SS,0.95
INET006,SS,0.9791666666666666
INET005,SS,1.0
INET044,SS,0.9791666666666666
INET019,SS,0.9772727272727273
INET041,SS,1.0
INET047,SS,0.9772727272727273
INET005,SS,1.0
INET045,SS,1.0
INET016,SS,1.0
INET034,SS,1.0
INET050,SS,0.9791666666666666
INET034,SS,0.975
INET016,SS,1.0
INET005,SS,0.9791666666666666
INET019,SS,1.0
INET044,SS,0.9791666666666666
INET006,SS,0.9772727272727273
INET019,SS,1.0
INET040,SS,0.9772727272727273
INET040,SS,0.9545454545454546
INET034,SS,0.9545454545454546
INET016,SS,1.0
INET016,SS,1.0
INET040,SS,0.9545454545454546
INET019,SS,1.0
INET005,SS,1.0
INET041,SS,1.0
INET051,SS,1.0
INET047,SS,0.9090909090909091
INET034,SS,0.975
INET016,SS,1.0
INET016,SS,1.0
INET016,SS,0.9791666666666666
INET018,SS,0.9545454545454546
INET050,SS,0.975
INET019,SS,1.0
INET047,SS,0.9772727272727273
INET018,SS,0.9791666666666666
INET019,SS,1.0
INET005,SS,1.0
INET040,SS,1.0
INET003,SS,1.0
INET003,SS,1.0
INET003,SS,1.0
INET040,SS,0.9318181818181819
INET003,SS,1.0
INET045,SS,1.0
INET044,SS,1.0
INET051,SS,0.9642857142857143
INET040,SS,0.9772727272727273
INET040,SS,0.9545454545454546
INET006,SS,0.9545454545454546
INET044,SS,1.0
INET050,SS,0.9791666666666666
INET040,SS,0.9772727272727273
INET041,SS,1.0
INET018,SS,1.0
INET044,SS,0.9791666666666666
INET045,SS,1.0
INET050,SS,0.9541666666666666
INET016,SS,0.9791666666666666
INET041,SS,1.0
INET034,SS,0.975
INET034,SS,1.0
INET018,SS,0.9772727272727273
INET047,SS,0.9772727272727273
INET006,SS,1.0
INET047,SS,0.9772727272727273
INET018,SS,1.0
INET050,SS,1.0
INET018,SS,0.9772727272727273
INET006,SS,0.9791666666666666
INET019,SS,1.0
INET044,SS,0.9583333333333334
INET003,SS,1.0
INET003,SS,1.0
INET018,SS,0.9791666666666666
INET003,SS,1.0
INET006,SS,0.9545454545454546
INET041,SS,1.0
INET045,SS,1.0
INET006,SS,1.0
INET047,SS,0.9318181818181819
INET041,SS,1.0
INET003,SS,1.0
INET034,SS,1.0
INET047,SS,0.9545454545454546
INET041,SS,1.0
INET003,SS,1.0
INET016,SS,1.0
INET019,SS,1.0
INET006,SS,1.0
INET040,SS,0.9545454545454546
INET034,SS,0.975
INET045,SS,1.0
INET006,SS,0.9318181818181819
INET051,SS,1.0
INET018,SS,1.0
INET005,SS,1.0
INET040,SS,0.9772727272727273
INET019,SS,1.0
INET045,SS,1.0
INET044,SS,0.9791666666666666
INET044,SS,0.9583333333333334
INET016,SS,0.9791666666666666
INET041,SS,1.0
INET040,SS,0.9772727272727273
INET019,SS,1.0
INET005,SS,0.9791666666666666
INET047,SS,0.9772727272727273
INET041,SS,1.0
INET003,SS,1.0
INET005,SS,0.9791666666666666
INET018,SS,0.9545454545454546
INET050,SS,0.9541666666666666
INET040,SS,0.9545454545454546
INET041,SS,1.0
INET047,SS,0.9772727272727273
INET006,SS,1.0
INET003,SS,1.0
INET003,SS,1.0
INET034,SS,0.975
INET018,SS,0.9772727272727273
INET050,SS,1.0
INET034,SS,0.9522727272727273
INET005,SS,1.0
INET040,SS,0.9545454545454546
INET051,SS,1.0
INET051,SS,1.0
INET034,SS,0.9522727272727273
INET044,SS,1.0
INET044,SS,1.0
INET045,SS,1.0
INET045,SS,1.0
INET050,SS,0.975
INET045,SS,1.0
INET019,SS,0.9791666666666666
INET016,SS,0.9583333333333334
INET044,SS,0.9791666666666666
INET005,SS,1.0
INET034,SS,0.975
INET006,SS,0.9564393939393939
INET041,SS,0.9772727272727273
INET051,SS,1.0
INET050,SS,1.0
INET016,SS,0.9791666666666666
INET003,SS,1.0
INET051,SS,1.0
INET018,SS,0.9722222222222222
INET034,SS,1.0
INET041,SS,0.9772727272727273
INET016,SS,0.9791666666666666
INET045,SS,1.0
INET047,SS,0.9545454545454546
INET006,SS,0.9545454545454546
INET044,SS,0.9583333333333334
INET041,SS,1.0
INET044,SS,0.9583333333333334
INET050,SS,1.0
INET040,SS,0.9772727272727273
INET005,SS,1.0
INET047,SS,0.9772727272727273
INET018,SS,1.0
INET019,SS,1.0
INET019,SS,1.0
INET050,SS,1.0
INET051,SS,0.9772727272727273
INET045,SS,1.0
INET018,OS,0.6920587306599305
INET016,OS,0.9346842105263158
INET051,OS,0.9092582851130984
INET045,OS,0.9181315789473684
INET041,OS,0.7071759259259259
INET047,OS,0.8929849489527418
INET047,OS,0.8900378907483423
INET018,OS,0.7767077149773708
INET044,OS,0.881421052631579
INET051,OS,0.8997632824829037
INET005,OS,0.7533950942204443
INET045,OS,0.8893157894736843
INET019,OS,0.8728287188125066
INET003,OS,0.8945935947574253
INET006,OS,0.4126715945089757
INET047,OS,0.89948426481423
INET050,OS,0.863988001263025
INET006,OS,0.38389651531151003
INET005,OS,0.7633435098431414
INET045,OS,0.9060526315789473
INET005,OS,0.668333508790399
INET034,OS,0.8093033045674595
INET006,OS,0.4130411826821542
INET005,OS,0.7960311611748605
INET044,OS,0.8827368421052632
INET019,OS,0.8764080429518897
INET041,OS,0.7425294612794613
INET047,OS,0.8854857383433323
INET005,OS,0.7110222128645121
INET045,OS,0.9022105263157895
INET016,OS,0.9674736842105264
INET034,OS,0.8081982740475689
INET050,OS,0.8887222397642354
INET034,OS,0.8218006735424122
INET016,OS,0.958
INET005,OS,0.7877934519423098
INET019,OS,0.8610380040004211
INET044,OS,0.8526052631578948
INET006,OS,0.38223336853220696
INET019,OS,0.8730919044109906
INET040,OS,0.7022944953162825
INET040,OS,0.6079096937164509
INET034,OS,0.8429541149231741
INET016,OS,0.9721578947368421
INET016,OS,0.973
INET040,OS,0.5263919587411852
INET019,OS,0.864669965259501
INET005,OS,0.788530371618065
INET041,OS,0.7186973905723906
INET051,OS,0.91070489216202
INET047,OS,0.8255709925271024
INET034,OS,0.8277731003999158
INET016,OS,0.9808947368421053
INET016,OS,0.9772631578947368
INET016,OS,0.9318157894736843
INET018,OS,0.7478686454057467
INET050,OS,0.8830386275128934
INET019,OS,0.8903568796715444
INET047,OS,0.8980370487317124
INET018,OS,0.8143879591621934
INET019,OS,0.8744604695231077
INET005,OS,0.7832929782082325
INET040,OS,0.5228923271234607
INET003,OS,0.8841031603424585
INET003,OS,0.7872582179473628
INET003,OS,0.8978702039953493
INET040,OS,0.6020418903273339
INET003,OS,0.8721065426487686
INET045,OS,0.8938947368421053
INET044,OS,0.8518421052631578
INET051,OS,0.8807995791688585
INET040,OS,0.5720187348700136
INET040,OS,0.6647195032101884
INET006,OS,0.40892291446673706
INET044,OS,0.9006842105263158
INET050,OS,0.8781444058520156
INET040,OS,0.6847963372276602
INET041,OS,0.726010101010101
INET018,OS,0.8100463109146405
INET044,OS,0.9105526315789474
INET045,OS,0.8944736842105263
INET050,OS,0.9039048521208294
