train_task,test_task,train_sub,test_sub,Analysis,acc
semantic,glass,MSC03,MSC10,Different Person,0.0
semantic,motor,MSC03,MSC10,Different Person,0.0
semantic,mem,MSC03,MSC10,Different Person,0.0
motor,glass,MSC03,MSC10,Different Person,0.030000000000000002
motor,semantic,MSC03,MSC10,Different Person,0.0
motor,mem,MSC03,MSC10,Different Person,0.2
mem,glass,MSC03,MSC10,Different Person,0.0625
mem,semantic,MSC03,MSC10,Different Person,0.08750000000000001
mem,motor,MSC03,MSC10,Different Person,0.05
glass,semantic,MSC04,MSC01,Different Person,0.26
glass,motor,MSC04,MSC01,Different Person,0.44
glass,mem,MSC04,MSC01,Different Person,0.32
semantic,glass,MSC04,MSC01,Different Person,0.04
semantic,motor,MSC04,MSC01,Different Person,0.0
semantic,mem,MSC04,MSC01,Different Person,0.14
motor,glass,MSC04,MSC01,Different Person,0.35000000000000003
motor,semantic,MSC04,MSC01,Different Person,0.29
motor,mem,MSC04,MSC01,Different Person,0.36
mem,glass,MSC04,MSC01,Different Person,0.84
mem,semantic,MSC04,MSC01,Different Person,0.96
mem,motor,MSC04,MSC01,Different Person,1.0
glass,semantic,MSC04,MSC02,Different Person,0.11
glass,motor,MSC04,MSC02,Different Person,0.14
glass,mem,MSC04,MSC02,Different Person,0.24000000000000002
semantic,glass,MSC04,MSC02,Different Person,0.12000000000000001
semantic,motor,MSC04,MSC02,Different Person,0.0
semantic,mem,MSC04,MSC02,Different Person,0.1
motor,glass,MSC04,MSC02,Different Person,0.53
motor,semantic,MSC04,MSC02,Different Person,0.5
motor,mem,MSC04,MSC02,Different Person,0.56
mem,glass,MSC04,MSC02,Different Person,0.34
mem,semantic,MSC04,MSC02,Different Person,0.39
mem,motor,MSC04,MSC02,Different Person,0.24000000000000002
glass,semantic,MSC04,MSC03,Different Person,0.46
glass,motor,MSC04,MSC03,Different Person,0.66
glass,mem,MSC04,MSC03,Different Person,0.375
semantic,glass,MSC04,MSC03,Different Person,0.0
semantic,motor,MSC04,MSC03,Different Person,0.030000000000000002
semantic,mem,MSC04,MSC03,Different Person,0.0125
motor,glass,MSC04,MSC03,Different Person,0.47
motor,semantic,MSC04,MSC03,Different Person,0.67
motor,mem,MSC04,MSC03,Different Person,0.6375
mem,glass,MSC04,MSC03,Different Person,0.68
mem,semantic,MSC04,MSC03,Different Person,0.79
mem,motor,MSC04,MSC03,Different Person,0.89
glass,semantic,MSC04,MSC05,Different Person,0.21000000000000002
glass,motor,MSC04,MSC05,Different Person,0.39
glass,mem,MSC04,MSC05,Different Person,0.33
semantic,glass,MSC04,MSC05,Different Person,0.0
semantic,motor,MSC04,MSC05,Different Person,0.0
semantic,mem,MSC04,MSC05,Different Person,0.0
motor,glass,MSC04,MSC05,Different Person,0.18
motor,semantic,MSC04,MSC05,Different Person,0.31
motor,mem,MSC04,MSC05,Different Person,0.44
mem,glass,MSC04,MSC05,Different Person,0.1
mem,semantic,MSC04,MSC05,Different Person,0.59
mem,motor,MSC04,MSC05,Different Person,0.47
glass,semantic,MSC04,MSC06,Different Person,0.59
glass,motor,MSC04,MSC06,Different Person,0.4111111111111111
glass,mem,MSC04,MSC06,Different Person,0.66
semantic,glass,MSC04,MSC06,Different Person,0.0
semantic,motor,MSC04,MSC06,Different Person,0.0
semantic,mem,MSC04,MSC06,Different Person,0.15000000000000002
motor,glass,MSC04,MSC06,Different Person,0.06666666666666667
motor,semantic,MSC04,MSC06,Different Person,0.28
motor,mem,MSC04,MSC06,Different Person,0.18
mem,glass,MSC04,MSC06,Different Person,0.7222222222222222
mem,semantic,MSC04,MSC06,Different Person,0.75
mem,motor,MSC04,MSC06,Different Person,0.8333333333333333
glass,semantic,MSC04,MSC07,Different Person,0.21
glass,motor,MSC04,MSC07,Different Person,0.6666666666666666
glass,mem,MSC04,MSC07,Different Person,0.29
semantic,glass,MSC04,MSC07,Different Person,0.5
semantic,motor,MSC04,MSC07,Different Person,0.0
semantic,mem,MSC04,MSC07,Different Person,0.13
motor,glass,MSC04,MSC07,Different Person,0.46
motor,semantic,MSC04,MSC07,Different Person,0.34
motor,mem,MSC04,MSC07,Different Person,0.31
mem,glass,MSC04,MSC07,Different Person,0.85
mem,semantic,MSC04,MSC07,Different Person,0.65
mem,motor,MSC04,MSC07,Different Person,0.8777777777777778
glass,semantic,MSC04,MSC10,Different Person,0.39
glass,motor,MSC04,MSC10,Different Person,0.58
glass,mem,MSC04,MSC10,Different Person,0.43
semantic,glass,MSC04,MSC10,Different Person,0.12
semantic,motor,MSC04,MSC10,Different Person,0.0
semantic,mem,MSC04,MSC10,Different Person,0.22
motor,glass,MSC04,MSC10,Different Person,0.44
motor,semantic,MSC04,MSC10,Different Person,0.34
motor,mem,MSC04,MSC10,Different Person,0.53
mem,glass,MSC04,MSC10,Different Person,0.9
mem,semantic,MSC04,MSC10,Different Person,0.88
mem,motor,MSC04,MSC10,Different Person,0.96
glass,semantic,MSC05,MSC01,Different Person,0.060000000000000005
glass,motor,MSC05,MSC01,Different Person,0.07
glass,mem,MSC05,MSC01,Different Person,0.0
semantic,glass,MSC05,MSC01,Different Person,0.29
semantic,motor,MSC05,MSC01,Different Person,0.61
semantic,mem,MSC05,MSC01,Different Person,0.5
motor,glass,MSC05,MSC01,Different Person,0.1
motor,semantic,MSC05,MSC01,Different Person,0.0
motor,mem,MSC05,MSC01,Different Person,0.0
mem,glass,MSC05,MSC01,Different Person,0.76
mem,semantic,MSC05,MSC01,Different Person,0.8
mem,motor,MSC05,MSC01,Different Person,0.87
glass,semantic,MSC05,MSC02,Different Person,0.060000000000000005
glass,motor,MSC05,MSC02,Different Person,0.53
glass,mem,MSC05,MSC02,Different Person,0.05
semantic,glass,MSC05,MSC02,Different Person,0.33
semantic,motor,MSC05,MSC02,Different Person,0.5499999999999999
semantic,mem,MSC05,MSC02,Different Person,0.33999999999999997
motor,glass,MSC05,MSC02,Different Person,0.2
motor,semantic,MSC05,MSC02,Different Person,0.31
motor,mem,MSC05,MSC02,Different Person,0.01
mem,glass,MSC05,MSC02,Different Person,0.95
mem,semantic,MSC05,MSC02,Different Person,0.95
mem,motor,MSC05,MSC02,Different Person,1.0
glass,semantic,MSC05,MSC03,Different Person,0.18000000000000002
glass,motor,MSC05,MSC03,Different Person,0.05
glass,mem,MSC05,MSC03,Different Person,0.0
semantic,glass,MSC05,MSC03,Different Person,0.37
semantic,motor,MSC05,MSC03,Different Person,0.62
semantic,mem,MSC05,MSC03,Different Person,0.175
motor,glass,MSC05,MSC03,Different Person,0.36
motor,semantic,MSC05,MSC03,Different Person,0.2
motor,mem,MSC05,MSC03,Different Person,0.0
mem,glass,MSC05,MSC03,Different Person,0.8500000000000001
mem,semantic,MSC05,MSC03,Different Person,0.81
mem,motor,MSC05,MSC03,Different Person,0.98
glass,semantic,MSC05,MSC04,Different Person,0.09000000000000001
glass,motor,MSC05,MSC04,Different Person,0.030000000000000002
glass,mem,MSC05,MSC04,Different Person,0.0
semantic,glass,MSC05,MSC04,Different Person,0.16
semantic,motor,MSC05,MSC04,Different Person,0.31
semantic,mem,MSC05,MSC04,Different Person,0.09000000000000001
motor,glass,MSC05,MSC04,Different Person,0.18
motor,semantic,MSC05,MSC04,Different Person,0.1
motor,mem,MSC05,MSC04,Different Person,0.0
mem,glass,MSC05,MSC04,Different Person,0.78
mem,semantic,MSC05,MSC04,Different Person,0.48
mem,motor,MSC05,MSC04,Different Person,0.82
glass,semantic,MSC05,MSC06,Different Person,0.0
glass,motor,MSC05,MSC06,Different Person,0.14444444444444443
glass,mem,MSC05,MSC06,Different Person,0.0
semantic,glass,MSC05,MSC06,Different Person,0.09999999999999999
semantic,motor,MSC05,MSC06,Different Person,0.2333333333333333
semantic,mem,MSC05,MSC06,Different Person,0.060000000000000005
motor,glass,MSC05,MSC06,Different Person,0.1111111111111111
motor,semantic,MSC05,MSC06,Different Person,0.01
