subs,Analysis,acc
INET018,SS,0.8865384615384615
INET016,SS,0.9337121212121212
INET051,SS,0.8673826173826173
INET045,SS,0.9182692307692308
INET041,SS,0.9541666666666666
INET047,SS,0.9564393939393939
INET047,SS,0.9337121212121212
INET018,SS,0.8673076923076923
INET050,SS,0.9583333333333333
INET044,SS,1.0
INET051,SS,0.9285714285714286
INET045,SS,0.9599358974358975
INET019,SS,0.895541958041958
INET003,SS,0.8674242424242424
INET006,SS,0.8444055944055944
INET051,SS,0.9093406593406593
INET047,SS,0.9128787878787878
INET050,SS,0.9791666666666666
INET006,SS,0.8671328671328671
INET045,SS,0.9583333333333334
INET018,SS,0.8423076923076923
INET034,SS,0.9356060606060606
INET006,SS,0.8898601398601399
INET044,SS,0.9791666666666666
INET045,SS,0.9583333333333334
INET019,SS,0.875
INET041,SS,0.9087121212121212
INET047,SS,0.9356060606060606
INET041,SS,0.9791666666666666
INET045,SS,1.0
INET016,SS,0.8939393939393939
INET034,SS,0.8939393939393939
INET050,SS,0.9599358974358975
INET034,SS,0.9375
INET016,SS,0.9791666666666666
INET019,SS,0.8314393939393939
INET044,SS,0.9564393939393939
INET006,SS,0.8671328671328671
INET019,SS,0.833041958041958
INET040,SS,0.9545454545454546
INET040,SS,0.9318181818181819
INET034,SS,0.9564393939393939
INET034,SS,0.9337121212121212
INET016,SS,0.9583333333333334
INET016,SS,0.9375
INET040,SS,0.9318181818181819
INET019,SS,0.9407051282051282
INET051,SS,0.793956043956044
INET050,SS,0.9791666666666666
INET041,SS,0.9791666666666666
INET051,SS,0.9285714285714286
INET047,SS,0.9128787878787878
INET034,SS,0.9128787878787878
INET040,SS,0.9337121212121212
INET041,SS,0.9583333333333334
INET016,SS,0.8939393939393939
INET016,SS,0.9182692307692308
INET016,SS,0.8920454545454546
INET018,SS,0.8865384615384615
INET003,SS,0.9128787878787878
INET050,SS,0.9583333333333334
INET019,SS,0.8522727272727273
INET047,SS,0.9583333333333334
INET018,SS,0.8788461538461538
INET019,SS,0.8068181818181819
INET006,SS,0.8863636363636364
INET016,SS,0.8939393939393939
INET040,SS,0.8863636363636364
INET003,SS,0.865530303030303
INET003,SS,0.8671328671328671
INET003,SS,0.8674242424242424
INET040,SS,0.9337121212121212
INET003,SS,0.9128787878787878
INET003,SS,0.8235722610722611
INET045,SS,0.9375
INET044,SS,0.9356060606060606
INET044,SS,0.9564393939393939
INET051,SS,0.8151848151848152
INET040,SS,0.8863636363636364
INET040,SS,0.9090909090909092
INET006,SS,0.8671328671328671
INET044,SS,0.9772727272727273
INET050,SS,0.9791666666666666
INET044,SS,0.9772727272727273
INET040,SS,0.9109848484848485
INET047,SS,0.9109848484848485
INET041,SS,0.9541666666666666
INET018,SS,0.7788461538461539
INET044,SS,0.9791666666666666
INET045,SS,1.0
INET050,SS,0.9182692307692307
INET016,SS,0.8958333333333334
INET041,SS,0.9791666666666666
INET034,SS,0.9147727272727273
INET034,SS,0.9375
INET018,SS,0.8865384615384616
INET047,SS,0.8674242424242424
INET006,SS,0.8671328671328671
INET047,SS,0.9356060606060606
INET047,SS,0.8674242424242424
INET018,SS,0.8730769230769231
INET050,SS,0.9599358974358975
INET018,SS,0.9230769230769231
INET006,SS,0.8898601398601399
INET019,SS,0.8939393939393939
INET044,SS,0.9583333333333333
INET003,SS,0.9109848484848485
INET003,SS,0.8917540792540792
INET003,SS,0.8882575757575757
INET006,SS,0.8898601398601399
INET041,SS,0.9564393939393939
INET045,SS,0.9583333333333333
INET045,SS,0.9583333333333334
INET050,SS,0.9791666666666666
INET006,SS,0.8671328671328671
INET047,SS,0.9356060606060606
INET041,SS,0.9791666666666666
INET003,SS,0.8465909090909091
INET034,SS,0.8939393939393939
INET047,SS,0.9337121212121212
INET041,SS,0.9333333333333333
INET003,SS,0.8901515151515151
INET016,SS,0.8958333333333334
INET019,SS,0.7456293706293706
INET006,SS,0.8671328671328671
INET040,SS,0.9109848484848485
INET034,SS,0.8503787878787878
INET045,SS,0.9791666666666666
INET006,SS,0.8671328671328671
INET051,SS,0.8866133866133866
INET018,SS,0.9557692307692308
INET040,SS,0.9318181818181819
INET019,SS,0.7702505827505828
INET045,SS,0.9599358974358975
INET044,SS,0.9772727272727273
INET044,SS,0.9772727272727273
INET016,SS,0.9583333333333333
INET040,SS,0.9318181818181819
INET018,SS,0.8980769230769231
INET041,SS,0.9541666666666666
INET016,SS,0.9583333333333333
INET040,SS,0.8863636363636364
INET019,SS,0.7667540792540792
INET047,SS,0.9109848484848485
INET041,SS,0.9314393939393939
INET003,SS,0.9337121212121212
INET018,SS,0.9115384615384616
INET050,SS,0.9599358974358975
INET034,SS,0.8712121212121212
INET040,SS,0.8636363636363636
INET041,SS,0.9314393939393939
INET047,SS,0.9109848484848485
INET006,SS,0.8671328671328671
INET003,SS,0.865530303030303
INET019,SS,0.8103146853146853
INET003,SS,0.8674242424242424
INET034,SS,0.9375
INET018,SS,0.8980769230769231
INET050,SS,1.0
INET034,SS,0.9147727272727273
INET050,SS,0.9599358974358975
INET040,SS,0.9090909090909091
INET051,SS,0.8254245754245755
INET051,SS,0.8281718281718282
INET034,SS,0.9375
INET044,SS,0.9772727272727273
INET044,SS,1.0
INET045,SS,0.9391025641025641
INET045,SS,1.0
INET050,SS,0.9375
INET045,SS,0.9372086247086246
INET019,SS,0.8349358974358975
INET016,SS,0.9791666666666666
INET044,SS,0.9564393939393939
INET034,SS,0.9583333333333334
INET006,SS,0.8671328671328671
INET041,SS,0.9314393939393939
INET051,SS,0.8673826173826173
INET050,SS,0.9599358974358975
INET016,SS,0.9166666666666666
INET003,SS,0.8446969696969697
INET051,SS,0.8866133866133866
INET018,SS,0.8038461538461539
INET034,SS,0.8276515151515151
INET019,SS,0.8257575757575757
INET041,SS,0.9791666666666666
INET016,SS,0.9147727272727273
INET045,SS,1.0
INET047,SS,0.9337121212121212
INET006,SS,0.8863636363636364
INET044,SS,1.0
INET041,SS,0.9541666666666666
INET044,SS,1.0
INET050,SS,0.9791666666666666
INET040,SS,0.9545454545454546
INET047,SS,0.9791666666666666
INET018,SS,0.8923076923076924
INET019,SS,0.7667540792540792
INET019,SS,0.8522727272727273
INET050,SS,0.9375
INET051,SS,0.7967032967032968
INET006,SS,0.9318181818181819
INET045,SS,0.9599358974358975
INET018,OS,0.5657498116051243
INET016,OS,0.6172036932353495
INET051,OS,0.6088614747151333
INET045,OS,0.6717307329941586
INET041,OS,0.6021614239969862
INET047,OS,0.7326189354686764
INET047,OS,0.7500706547338671
INET018,OS,0.5426243406179352
INET050,OS,0.39534061999434655
INET044,OS,0.4583568871302054
INET051,OS,0.6656229400131839
INET045,OS,0.7138449218013944
INET019,OS,0.7357014981626308
INET003,OS,0.4204491725768322
INET006,OS,0.3639219576719577
INET051,OS,0.5782794990112063
INET047,OS,0.740814884597268
INET050,OS,0.44162819184019597
INET006,OS,0.3625283446712018
INET045,OS,0.78631995477671
INET018,OS,0.49684438583270535
INET034,OS,0.5097023360964582
INET006,OS,0.3625283446712018
INET044,OS,0.4718532127378934
INET045,OS,0.7461371773129828
INET019,OS,0.7521435974747951
INET041,OS,0.6051280843850065
INET047,OS,0.7405322656617993
INET041,OS,0.7493878319834244
INET045,OS,0.8080601092896175
INET016,OS,0.5874788015828152
INET034,OS,0.48610587792012055
INET050,OS,0.4315933289362103
INET034,OS,0.4816785983421251
INET016,OS,0.6816939890710383
INET019,OS,0.7065862621313483
INET044,OS,0.40830506877708683
INET006,OS,0.3674414210128496
INET019,OS,0.7221332328276642
INET040,OS,0.3964201601507301
INET040,OS,0.3466085727743759
INET034,OS,0.492370007535795
INET034,OS,0.4681848153730218
INET016,OS,0.5779159600527606
INET016,OS,0.6886659129451668
INET040,OS,0.41219971738106453
INET019,OS,0.7449825685480072
INET051,OS,0.5153498446181373
INET050,OS,0.3949872797512485
INET041,OS,0.6470145036730081
INET051,OS,0.571805254732084
INET047,OS,0.7715732454074423
INET034,OS,0.47315373021853807
INET040,OS,0.3618699952896844
INET041,OS,0.6252354492371445
INET016,OS,0.6150367439231204
INET016,OS,0.6189231204070096
INET016,OS,0.597112304503486
INET018,OS,0.49910512434061793
INET003,OS,0.4494326241134752
INET050,OS,0.4048808065579949
INET019,OS,0.7027701875058889
INET047,OS,0.7466556759302874
INET018,OS,0.48893180105501133
INET019,OS,0.7338405728823142
INET006,OS,0.3575444066515495
INET016,OS,0.6519455436216318
INET040,OS,0.3564060292039567
INET003,OS,0.45602836879432623
INET003,OS,0.45534278959810875
INET003,OS,0.47026004728132387
INET040,OS,0.3789919924634951
INET003,OS,0.44326241134751776
INET003,OS,0.44747044917257683
INET045,OS,0.7730120595439984
INET044,OS,0.4357216883361598
INET044,OS,0.4251224797437347
INET051,OS,0.5976316037291647
INET040,OS,0.40237870937352804
INET040,OS,0.3701365991521432
INET006,OS,0.36569349962207104
INET044,OS,0.45345769738081776
INET050,OS,0.4491190049938754
INET044,OS,0.46283210853589596
INET040,OS,0.38883655204898726
INET047,OS,0.7532972209138012
INET041,OS,0.6677104916180071
INET018,OS,0.5631593820648079
INET044,OS,0.46386847559826644
INET045,OS,0.7920906350103637
INET050,OS,0.40195986054838406
INET016,OS,0.6032598454870925
INET041,OS,0.624741005839141
INET034,OS,0.4859410324039186
INET034,OS,0.4668896006028636
INET018,OS,0.511256593820648
INET047,OS,0.7496702779086198
INET006,OS,0.36748866213151926
INET047,OS,0.7671455487517664
INET047,OS,0.7633301931229393
INET018,OS,0.523172569706104
INET050,OS,0.44268821256949026
INET018,OS,0.5604747550866617
INET006,OS,0.3639219576719577
INET019,OS,0.7529445020258174
INET044,OS,0.4521857923497268
INET003,OS,0.45321513002364067
INET003,OS,0.4785579196217494
INET003,OS,0.44666666666666666
INET006,OS,0.3656698790627362
INET041,OS,0.637055000941797
INET045,OS,0.747008667797249
INET045,OS,0.7646975692481628
INET050,OS,0.38850937529445023
INET006,OS,0.3649612622826909
INET047,OS,0.7539802166745172
INET041,OS,0.6297089847428894
INET003,OS,0.4580851063829787
INET034,OS,0.4841983798040693
INET047,OS,0.7240226095148374
INET041,OS,0.6153230363533622
INET003,OS,0.45749408983451534
INET016,OS,0.6014226493310721
INET019,OS,0.6888956939602374
INET006,OS,0.3646069538926682
INET040,OS,0.375082430522845
INET034,OS,0.47400150715900524
INET045,OS,0.7576785377802902
INET006,OS,0.36569349962207104
INET051,OS,0.5349373764007911
INET018,OS,0.5671627731725697
INET040,OS,0.35381535562882716
INET019,OS,0.6868698765664751
INET045,OS,0.7210994912379876
INET044,OS,0.41669022046353876
INET044,OS,0.410048049745619
INET016,OS,0.6560203504804974
INET040,OS,0.34585492227979275
INET018,OS,0.5506782215523738
INET041,OS,0.623469579958561
INET016,OS,0.6714951950254381
INET040,OS,0.3958078191238813
INET019,OS,0.6637143126354471
INET047,OS,0.7624823363165332
INET041,OS,0.5562723676775287
INET003,OS,0.4321276595744681
INET018,OS,0.5059815373021854
INET050,OS,0.3995807029115236
INET034,OS,0.471646571213263
INET040,OS,0.3662976919453603
INET041,OS,0.6283904690148804
INET047,OS,0.7325247291568535
INET006,OS,0.36786659108087677
INET003,OS,0.4788179669030733
INET019,OS,0.7065155940827288
INET003,OS,0.42458628841607565
INET034,OS,0.5134937829691032
INET018,OS,0.5541164280331575
INET050,OS,0.4850183736926411
INET034,OS,0.5229841748304446
INET050,OS,0.38999340431546214
INET040,OS,0.34488930758360814
INET051,OS,0.5525002354270647
INET051,OS,0.5096995950654487
INET034,OS,0.4905096081386586
INET044,OS,0.4437770868664029
INET044,OS,0.4145939325419258
INET045,OS,0.757183908045977
INET045,OS,0.7860373092142453
INET050,OS,0.4231367191180627
INET045,OS,0.7931270020727341
INET019,OS,0.6973758597945916
INET016,OS,0.6559025814961372
INET044,OS,0.4175617109478048
INET034,OS,0.5034617558402411
INET006,OS,0.3678193499622071
INET041,OS,0.6446835562252778
INET051,OS,0.6164657689047933
INET050,OS,0.4854659380005653
INET016,OS,0.6275909176559261
INET003,OS,0.4719621749408983
INET051,OS,0.6593134946793484
INET018,OS,0.4675489826676714
INET034,OS,0.4530190278824416
INET019,OS,0.7161500047112033
INET041,OS,0.6350065925786401
INET016,OS,0.6091954022988505
INET045,OS,0.7912662521198417
INET047,OS,0.7647668393782383
INET006,OS,0.3646069538926682
INET044,OS,0.4253815715093273
INET041,OS,0.591778112638915
INET044,OS,0.45618993781797623
INET050,OS,0.455479129369641
INET040,OS,0.3673810645313236
INET047,OS,0.747621290626472
INET018,OS,0.5824227581009797
INET019,OS,0.7327569961368133
INET019,OS,0.7536276264958071
INET050,OS,0.40789597663243193
INET051,OS,0.5887089179772107
INET006,OS,0.3685752078609221
INET045,OS,0.7948464292443942
