train_task,test_task,train_sub,test_sub,diff_sub,same_sub
pres1,pres3,MSC03,MSC05,0.54375,0.8125
pres2,pres1,MSC03,MSC05,0.45,0.6875
pres2,pres3,MSC03,MSC05,0.675,0.625
pres3,pres1,MSC03,MSC05,0.54375,0.8125
pres3,pres2,MSC03,MSC05,0.675,0.625
pres1,pres2,MSC03,MSC06,0.55625,0.6875
pres1,pres3,MSC03,MSC06,0.55,0.8125
pres2,pres1,MSC03,MSC06,0.55625,0.6875
pres2,pres3,MSC03,MSC06,0.51875,0.625
pres3,pres1,MSC03,MSC06,0.55,0.8125
pres3,pres2,MSC03,MSC06,0.51875,0.625
pres1,pres2,MSC03,MSC07,0.56875,0.6875
pres1,pres3,MSC03,MSC07,0.4625,0.8125
pres2,pres1,MSC03,MSC07,0.56875,0.6875
pres2,pres3,MSC03,MSC07,0.50625,0.625
pres3,pres1,MSC03,MSC07,0.4625,0.8125
pres3,pres2,MSC03,MSC07,0.50625,0.625
pres1,pres2,MSC03,MSC10,0.61875,0.6875
pres1,pres3,MSC03,MSC10,0.74375,0.8125
pres2,pres1,MSC03,MSC10,0.61875,0.6875
pres2,pres3,MSC03,MSC10,0.59375,0.625
pres3,pres1,MSC03,MSC10,0.74375,0.8125
pres3,pres2,MSC03,MSC10,0.59375,0.625
pres1,pres2,MSC04,MSC01,0.56,0.85
pres1,pres3,MSC04,MSC01,0.735,0.8
pres2,pres1,MSC04,MSC01,0.56,0.85
pres2,pres3,MSC04,MSC01,0.54,0.5
pres3,pres1,MSC04,MSC01,0.735,0.8
pres3,pres2,MSC04,MSC01,0.54,0.5
pres1,pres2,MSC04,MSC02,0.63,0.85
pres1,pres3,MSC04,MSC02,0.72,0.8
pres2,pres1,MSC04,MSC02,0.63,0.85
pres2,pres3,MSC04,MSC02,0.59,0.5
pres3,pres1,MSC04,MSC02,0.72,0.8
pres3,pres2,MSC04,MSC02,0.59,0.5
pres1,pres2,MSC04,MSC03,0.4875,0.85
pres1,pres3,MSC04,MSC03,0.70625,0.8
pres2,pres1,MSC04,MSC03,0.4875,0.85
pres2,pres3,MSC04,MSC03,0.5,0.5
pres3,pres1,MSC04,MSC03,0.70625,0.8
pres3,pres2,MSC04,MSC03,0.5,0.5
pres1,pres2,MSC04,MSC05,0.56,0.85
pres1,pres3,MSC04,MSC05,0.6950000000000001,0.8
pres2,pres1,MSC04,MSC05,0.56,0.85
pres2,pres3,MSC04,MSC05,0.5,0.5
pres3,pres1,MSC04,MSC05,0.6950000000000001,0.8
pres3,pres2,MSC04,MSC05,0.5,0.5
pres1,pres2,MSC04,MSC06,0.57,0.85
pres1,pres3,MSC04,MSC06,0.635,0.8
pres2,pres1,MSC04,MSC06,0.57,0.85
pres2,pres3,MSC04,MSC06,0.5,0.5
pres3,pres1,MSC04,MSC06,0.635,0.8
pres3,pres2,MSC04,MSC06,0.5,0.5
pres1,pres2,MSC04,MSC07,0.585,0.85
pres1,pres3,MSC04,MSC07,0.69,0.8
pres2,pres1,MSC04,MSC07,0.585,0.85
pres2,pres3,MSC04,MSC07,0.53,0.5
pres3,pres1,MSC04,MSC07,0.69,0.8
pres3,pres2,MSC04,MSC07,0.53,0.5
pres1,pres2,MSC04,MSC10,0.54,0.85
pres1,pres3,MSC04,MSC10,0.59,0.8
pres2,pres1,MSC04,MSC10,0.54,0.85
pres2,pres3,MSC04,MSC10,0.52,0.5
pres3,pres1,MSC04,MSC10,0.59,0.8
pres3,pres2,MSC04,MSC10,0.52,0.5
pres1,pres2,MSC05,MSC01,0.5,0.6
pres1,pres3,MSC05,MSC01,0.5,0.9
pres2,pres1,MSC05,MSC01,0.5,0.6
pres2,pres3,MSC05,MSC01,0.5,0.75
pres3,pres1,MSC05,MSC01,0.5,0.9
pres3,pres2,MSC05,MSC01,0.5,0.75
pres1,pres2,MSC05,MSC02,0.525,0.6
pres1,pres3,MSC05,MSC02,0.5,0.9
pres2,pres1,MSC05,MSC02,0.525,0.6
pres2,pres3,MSC05,MSC02,0.48,0.75
pres3,pres1,MSC05,MSC02,0.5,0.9
pres3,pres2,MSC05,MSC02,0.48,0.75
pres1,pres2,MSC05,MSC03,0.4625,0.6
pres1,pres3,MSC05,MSC03,0.5,0.9
pres2,pres1,MSC05,MSC03,0.4625,0.6
pres2,pres3,MSC05,MSC03,0.5,0.75
pres3,pres1,MSC05,MSC03,0.5,0.9
pres3,pres2,MSC05,MSC03,0.5,0.75
pres1,pres2,MSC05,MSC04,0.535,0.6
pres1,pres3,MSC05,MSC04,0.5,0.9
pres2,pres1,MSC05,MSC04,0.535,0.6
pres2,pres3,MSC05,MSC04,0.5,0.75
pres3,pres1,MSC05,MSC04,0.5,0.9
pres3,pres2,MSC05,MSC04,0.5,0.75
pres1,pres2,MSC05,MSC06,0.5,0.6
pres1,pres3,MSC05,MSC06,0.515,0.9
pres2,pres1,MSC05,MSC06,0.5,0.6
pres2,pres3,MSC05,MSC06,0.615,0.75
pres3,pres1,MSC05,MSC06,0.515,0.9
pres3,pres2,MSC05,MSC06,0.615,0.75
pres1,pres2,MSC05,MSC07,0.5,0.6
pres1,pres3,MSC05,MSC07,0.5,0.9
pres2,pres1,MSC05,MSC07,0.5,0.6
pres2,pres3,MSC05,MSC07,0.375,0.75
pres3,pres1,MSC05,MSC07,0.5,0.9
pres3,pres2,MSC05,MSC07,0.375,0.75
pres1,pres2,MSC05,MSC10,0.515,0.6
pres1,pres3,MSC05,MSC10,0.5,0.9
pres2,pres1,MSC05,MSC10,0.515,0.6
pres2,pres3,MSC05,MSC10,0.53,0.75
pres3,pres1,MSC05,MSC10,0.5,0.9
pres3,pres2,MSC05,MSC10,0.53,0.75
pres1,pres2,MSC06,MSC01,0.5,0.55
pres1,pres3,MSC06,MSC01,0.5,0.75
pres2,pres1,MSC06,MSC01,0.5,0.55
pres2,pres3,MSC06,MSC01,0.5,0.6
pres3,pres1,MSC06,MSC01,0.5,0.75
pres3,pres2,MSC06,MSC01,0.5,0.6
pres1,pres2,MSC06,MSC02,0.65,0.55
pres1,pres3,MSC06,MSC02,0.5,0.75
pres2,pres1,MSC06,MSC02,0.65,0.55
pres2,pres3,MSC06,MSC02,0.505,0.6
pres3,pres1,MSC06,MSC02,0.5,0.75
pres3,pres2,MSC06,MSC02,0.505,0.6
pres1,pres2,MSC06,MSC03,0.56875,0.55
pres1,pres3,MSC06,MSC03,0.5,0.75
pres2,pres1,MSC06,MSC03,0.56875,0.55
pres2,pres3,MSC06,MSC03,0.5,0.6
pres3,pres1,MSC06,MSC03,0.5,0.75
pres3,pres2,MSC06,MSC03,0.5,0.6
pres1,pres2,MSC06,MSC04,0.555,0.55
pres1,pres3,MSC06,MSC04,0.5,0.75
pres2,pres1,MSC06,MSC04,0.555,0.55
pres2,pres3,MSC06,MSC04,0.5,0.6
pres3,pres1,MSC06,MSC04,0.5,0.75
pres3,pres2,MSC06,MSC04,0.5,0.6
pres1,pres2,MSC06,MSC05,0.51,0.55
pres1,pres3,MSC06,MSC05,0.53,0.75
pres2,pres1,MSC06,MSC05,0.51,0.55
pres2,pres3,MSC06,MSC05,0.655,0.6
pres3,pres1,MSC06,MSC05,0.53,0.75
pres3,pres2,MSC06,MSC05,0.655,0.6
pres1,pres2,MSC06,MSC07,0.69,0.55
pres1,pres3,MSC06,MSC07,0.5,0.75
pres2,pres1,MSC06,MSC07,0.69,0.55
pres2,pres3,MSC06,MSC07,0.5,0.6
pres3,pres1,MSC06,MSC07,0.5,0.75
pres3,pres2,MSC06,MSC07,0.5,0.6
pres1,pres2,MSC06,MSC10,0.495,0.55
pres1,pres3,MSC06,MSC10,0.5,0.75
pres2,pres1,MSC06,MSC10,0.495,0.55
pres2,pres3,MSC06,MSC10,0.5,0.6
pres3,pres1,MSC06,MSC10,0.5,0.75
pres3,pres2,MSC06,MSC10,0.5,0.6
pres1,pres2,MSC07,MSC01,0.495,0.65
pres1,pres3,MSC07,MSC01,0.565,0.85
pres2,pres1,MSC07,MSC01,0.495,0.65
pres2,pres3,MSC07,MSC01,0.465,0.7
pres3,pres1,MSC07,MSC01,0.565,0.85
pres3,pres2,MSC07,MSC01,0.465,0.7
pres1,pres2,MSC07,MSC02,0.59,0.65
pres1,pres3,MSC07,MSC02,0.5650000000000001,0.85
pres2,pres1,MSC07,MSC02,0.59,0.65
pres2,pres3,MSC07,MSC02,0.47000000000000003,0.7
pres3,pres1,MSC07,MSC02,0.5650000000000001,0.85
pres3,pres2,MSC07,MSC02,0.47000000000000003,0.7
pres1,pres2,MSC07,MSC03,0.5125,0.65
pres1,pres3,MSC07,MSC03,0.49375,0.85
pres2,pres1,MSC07,MSC03,0.5125,0.65
pres2,pres3,MSC07,MSC03,0.3375,0.7
pres3,pres1,MSC07,MSC03,0.49375,0.85
pres3,pres2,MSC07,MSC03,0.3375,0.7
pres1,pres2,MSC07,MSC04,0.51,0.65
pres1,pres3,MSC07,MSC04,0.53,0.85
pres2,pres1,MSC07,MSC04,0.51,0.65
pres2,pres3,MSC07,MSC04,0.495,0.7
pres3,pres1,MSC07,MSC04,0.53,0.85
pres3,pres2,MSC07,MSC04,0.495,0.7
pres1,pres2,MSC07,MSC05,0.56,0.65
pres1,pres3,MSC07,MSC05,0.54,0.85
pres2,pres1,MSC07,MSC05,0.56,0.65
pres2,pres3,MSC07,MSC05,0.37,0.7
pres3,pres1,MSC07,MSC05,0.54,0.85
pres3,pres2,MSC07,MSC05,0.37,0.7
pres1,pres2,MSC07,MSC06,0.635,0.65
pres1,pres3,MSC07,MSC06,0.505,0.85
pres2,pres1,MSC07,MSC06,0.635,0.65
pres2,pres3,MSC07,MSC06,0.425,0.7
pres3,pres1,MSC07,MSC06,0.505,0.85
pres3,pres2,MSC07,MSC06,0.425,0.7
pres1,pres2,MSC07,MSC10,0.62,0.65
pres1,pres3,MSC07,MSC10,0.515,0.85
pres2,pres1,MSC07,MSC10,0.62,0.65
pres2,pres3,MSC07,MSC10,0.5700000000000001,0.7
pres3,pres1,MSC07,MSC10,0.515,0.85
pres3,pres2,MSC07,MSC10,0.5700000000000001,0.7
pres1,pres2,MSC10,MSC01,0.505,0.4
pres1,pres3,MSC10,MSC01,0.5700000000000001,0.6
pres2,pres1,MSC10,MSC01,0.505,0.4
pres2,pres3,MSC10,MSC01,0.49,0.65
pres3,pres1,MSC10,MSC01,0.5700000000000001,0.6
pres3,pres2,MSC10,MSC01,0.49,0.65
pres1,pres2,MSC10,MSC02,0.58,0.4
pres1,pres3,MSC10,MSC02,0.545,0.6
pres2,pres1,MSC10,MSC02,0.58,0.4
pres2,pres3,MSC10,MSC02,0.515,0.65
pres3,pres1,MSC10,MSC02,0.545,0.6
pres3,pres2,MSC10,MSC02,0.515,0.65
pres1,pres2,MSC10,MSC03,0.51875,0.4
pres1,pres3,MSC10,MSC03,0.50625,0.6
pres2,pres1,MSC10,MSC03,0.51875,0.4
pres2,pres3,MSC10,MSC03,0.49375,0.65
pres3,pres1,MSC10,MSC03,0.50625,0.6
pres3,pres2,MSC10,MSC03,0.49375,0.65
pres1,pres2,MSC10,MSC04,0.47500000000000003,0.4
pres1,pres3,MSC10,MSC04,0.505,0.6
pres2,pres1,MSC10,MSC04,0.47500000000000003,0.4
pres2,pres3,MSC10,MSC04,0.525,0.65
pres3,pres1,MSC10,MSC04,0.505,0.6
pres3,pres2,MSC10,MSC04,0.525,0.65
pres1,pres2,MSC10,MSC05,0.49,0.4
pres1,pres3,MSC10,MSC05,0.56,0.6
pres2,pres1,MSC10,MSC05,0.49,0.4
pres2,pres3,MSC10,MSC05,0.48,0.65
pres3,pres1,MSC10,MSC05,0.56,0.6
pres3,pres2,MSC10,MSC05,0.48,0.65
pres1,pres2,MSC10,MSC06,0.54,0.4
pres1,pres3,MSC10,MSC06,0.5650000000000001,0.6
pres2,pres1,MSC10,MSC06,0.54,0.4
pres2,pres3,MSC10,MSC06,0.41000000000000003,0.65
pres3,pres1,MSC10,MSC06,0.5650000000000001,0.6
pres3,pres2,MSC10,MSC06,0.41000000000000003,0.65
pres1,pres2,MSC10,MSC07,0.655,0.4
pres1,pres3,MSC10,MSC07,0.52,0.6
pres2,pres1,MSC10,MSC07,0.655,0.4
pres2,pres3,MSC10,MSC07,0.455,0.65
pres3,pres1,MSC10,MSC07,0.52,0.6
pres3,pres2,MSC10,MSC07,0.455,0.65
