subs,Analysis,acc
INET019,SS,0.7840909090909091
INET068,SS,0.8811188811188811
INET044,SS,0.9772727272727273
INET063,SS,0.9195804195804196
INET050,SS,0.9791666666666666
INET057,SS,0.9166666666666667
INET051,SS,0.8254245754245755
INET018,SS,0.8288461538461538
INET062,SS,0.9147727272727273
INET045,SS,0.9583333333333334
INET065,SS,0.9772727272727273
INET041,SS,0.9791666666666666
INET067,SS,0.9109848484848485
INET047,SS,0.8882575757575757
INET060,SS,0.9791666666666666
INET058,SS,0.8882575757575758
INET016,SS,0.9772727272727273
INET034,SS,0.9166666666666667
INET006,SS,0.8671328671328671
INET040,SS,0.9564393939393939
INET003,SS,0.8674242424242424
INET019,OS,0.6807324840764332
INET068,OS,0.5756369426751593
INET044,OS,0.5545382165605095
INET063,OS,0.7670634920634921
INET050,OS,0.5521496815286624
INET057,OS,0.54578025477707
INET051,OS,0.667059748427673
INET018,OS,0.6436507936507936
INET062,OS,0.6142515923566879
INET045,OS,0.7862261146496815
INET065,OS,0.5019904458598726
INET041,OS,0.6875
INET067,OS,0.6170382165605095
INET047,OS,0.6926751592356688
INET060,OS,0.6289808917197452
INET058,OS,0.7125796178343948
INET016,OS,0.6464968152866242
INET034,OS,0.6070859872611465
INET006,OS,0.5
INET040,OS,0.5171178343949046
INET003,OS,0.5473726114649682
