train_task,test_task,train_sub,test_sub,diff_sub,same_sub,OS_TPV,OS_RPV,SS_TPV,SS_RPV
pres2,pres1,MSC02,MSC06,0.54,0.75,,0.5210526315789473,,0.75
pres2,pres3,MSC02,MSC06,0.51,0.75,,0.5052631578947369,,0.75
pres3,pres1,MSC02,MSC06,0.535,0.75,,0.5190058479532164,,0.75
pres3,pres2,MSC02,MSC06,0.55,0.75,1.0,0.5263157894736842,,0.75
pres1,pres2,MSC02,MSC07,0.5750000000000001,0.95,,0.5489045010716838,,0.95
pres1,pres3,MSC02,MSC07,0.5800000000000001,0.95,,0.5464912280701755,,0.95
pres2,pres1,MSC02,MSC07,0.575,0.75,,0.5423245614035088,,0.75
pres2,pres3,MSC02,MSC07,0.52,0.75,,0.5125,,0.75
pres3,pres1,MSC02,MSC07,0.5750000000000001,0.75,1.0,0.5416236670106639,,0.75
pres3,pres2,MSC02,MSC07,0.76,0.75,1.0,0.6773809523809524,,0.75
pres1,pres2,MSC02,MSC10,0.63,0.95,1.0,0.5755718954248367,,0.95
pres1,pres3,MSC02,MSC10,0.575,0.95,1.0,0.5409356725146199,,0.95
pres2,pres1,MSC02,MSC10,0.55,0.75,1.0,0.5263157894736842,,0.75
pres2,pres3,MSC02,MSC10,0.525,0.75,,0.513157894736842,,0.75
pres3,pres1,MSC02,MSC10,0.54,0.75,,0.5210526315789473,,0.75
pres3,pres2,MSC02,MSC10,0.59,0.75,,0.550687994496044,,0.75
pres1,pres2,MSC03,MSC01,0.5,0.625,,0.5,,0.625
pres1,pres3,MSC03,MSC01,0.5,0.625,,0.5,,0.625
pres2,pres1,MSC03,MSC01,0.5,0.6875,,0.5,,0.6875
pres2,pres3,MSC03,MSC01,0.5,0.6875,,0.5,,0.6875
pres3,pres1,MSC03,MSC01,0.5,0.6875,,0.5,,0.6875
pres3,pres2,MSC03,MSC01,0.5,0.6875,,0.5,,0.6875
pres1,pres2,MSC03,MSC02,0.5,0.625,,0.5,,0.625
pres1,pres3,MSC03,MSC02,0.5,0.625,,0.5,,0.625
pres2,pres1,MSC03,MSC02,0.51875,0.6875,,0.5102339181286549,,0.6875
pres2,pres3,MSC03,MSC02,0.5,0.6875,,0.5,,0.6875
pres3,pres1,MSC03,MSC02,0.5,0.6875,,0.5,,0.6875
pres3,pres2,MSC03,MSC02,0.5,0.6875,,0.5,,0.6875
pres1,pres2,MSC03,MSC04,0.5125,0.625,,0.506578947368421,,0.625
pres1,pres3,MSC03,MSC04,0.5,0.625,,0.5,,0.625
pres2,pres1,MSC03,MSC04,0.5,0.6875,,0.5,,0.6875
pres2,pres3,MSC03,MSC04,0.5,0.6875,,0.5,,0.6875
pres3,pres1,MSC03,MSC04,0.50625,0.6875,,0.5032894736842105,,0.6875
pres3,pres2,MSC03,MSC04,0.5,0.6875,,0.5,,0.6875
pres1,pres2,MSC03,MSC05,0.5,0.625,,0.5,,0.625
pres1,pres3,MSC03,MSC05,0.53125,0.625,,0.5164473684210527,,0.625
pres2,pres1,MSC03,MSC05,0.5125,0.6875,,0.5069444444444444,,0.6875
pres2,pres3,MSC03,MSC05,0.50625,0.6875,,0.5032894736842105,,0.6875
pres3,pres1,MSC03,MSC05,0.5437500000000001,0.6875,,0.5233918128654971,,0.6875
pres3,pres2,MSC03,MSC05,0.575,0.6875,,0.5413011695906433,,0.6875
pres1,pres2,MSC03,MSC06,0.5,0.625,,0.5,,0.625
pres1,pres3,MSC03,MSC06,0.5,0.625,,0.5,,0.625
pres2,pres1,MSC03,MSC06,0.5,0.6875,,0.5,,0.6875
pres2,pres3,MSC03,MSC06,0.5,0.6875,,0.5,,0.6875
pres3,pres1,MSC03,MSC06,0.5,0.6875,,0.5,,0.6875
pres3,pres2,MSC03,MSC06,0.53125,0.6875,,0.5171783625730995,,0.6875
