train_task,test_task,train_sub,test_sub,diff_sub,same_sub,OS_TPV,OS_RPV,SS_TPV,SS_RPV
pres3,pres1,MSC10,MSC04,0.64,0.7,1.0,0.5828603371173031,,0.7
pres3,pres2,MSC10,MSC04,0.54,0.7,,0.5219298245614035,,0.7
pres1,pres2,MSC10,MSC05,0.745,1.0,1.0,0.6647759103641456,1.0,1.0
pres1,pres3,MSC10,MSC05,0.6849999999999999,1.0,1.0,0.6139705882352942,1.0,1.0
pres2,pres1,MSC10,MSC05,0.605,0.8,1.0,0.5599200206398349,,0.8
pres2,pres3,MSC10,MSC05,0.705,0.8,1.0,0.6332166199813258,,0.8
pres3,pres1,MSC10,MSC05,0.535,0.7,,0.5184210526315789,,0.7
pres3,pres2,MSC10,MSC05,0.54,0.7,,0.5216374269005848,,0.7
pres1,pres2,MSC10,MSC06,0.65,1.0,1.0,0.5882352941176471,1.0,1.0
pres1,pres3,MSC10,MSC06,0.515,1.0,,0.5078947368421053,1.0,1.0
pres2,pres1,MSC10,MSC06,0.5,0.8,,0.5,,0.8
pres2,pres3,MSC10,MSC06,0.5,0.8,,0.5,,0.8
pres3,pres1,MSC10,MSC06,0.545,0.7,,0.5245614035087719,,0.7
pres3,pres2,MSC10,MSC06,0.55,0.7,,0.5281733746130031,,0.7
pres1,pres2,MSC10,MSC07,0.51,1.0,,0.5052631578947369,1.0,1.0
pres1,pres3,MSC10,MSC07,0.56,1.0,,0.5327485380116959,1.0,1.0
pres2,pres1,MSC10,MSC07,0.5,0.8,,0.5,,0.8
pres2,pres3,MSC10,MSC07,0.5,0.8,,0.5,,0.8
pres3,pres1,MSC10,MSC07,0.5,0.7,,0.5,,0.7
pres3,pres2,MSC10,MSC07,0.5,0.7,,0.5,,0.7
pres1,pres2,MSC01,MSC01,0.845,1.0,1.0,0.7637362637362638,1.0,1.0
pres1,pres3,MSC01,MSC01,0.735,1.0,1.0,0.654656862745098,1.0,1.0
pres2,pres1,MSC01,MSC01,0.995,0.75,1.0,0.990909090909091,,0.75
pres2,pres3,MSC01,MSC01,0.865,0.75,1.0,0.7902930402930404,,0.75
pres3,pres1,MSC01,MSC01,0.9299999999999999,0.9,1.0,0.8835497835497835,,0.9
pres3,pres2,MSC01,MSC01,0.86,0.9,1.0,0.785964035964036,,0.9
pres1,pres2,MSC02,MSC02,0.785,0.95,1.0,0.7,,0.95
pres1,pres3,MSC02,MSC02,0.54,0.95,,0.5210526315789473,,0.95
pres2,pres1,MSC02,MSC02,0.78,0.75,1.0,0.6952380952380952,,0.75
pres2,pres3,MSC02,MSC02,0.585,0.75,,0.5488089095287237,,0.75
pres3,pres1,MSC02,MSC02,0.69,0.75,1.0,0.6210200746965453,,0.75
pres3,pres2,MSC02,MSC02,0.875,0.75,1.0,0.8012820512820513,,0.75
pres1,pres2,MSC03,MSC03,0.7361111111111112,0.625,1.0,0.6802312271062271,,0.625
pres1,pres3,MSC03,MSC03,0.6666666666666666,0.625,1.0,0.6268382352941176,,0.625
pres2,pres1,MSC03,MSC03,0.8333333333333334,0.6875,1.0,0.7750374625374625,,0.6875
pres2,pres3,MSC03,MSC03,0.7708333333333334,0.6875,1.0,0.7092490842490843,,0.6875
pres3,pres1,MSC03,MSC03,0.861111111111111,0.6875,1.0,0.80242673992674,,0.6875
pres3,pres2,MSC03,MSC03,0.8194444444444444,0.6875,1.0,0.7554945054945055,,0.6875
pres1,pres2,MSC04,MSC04,0.89,0.9,1.0,0.8205128205128206,,0.9
pres1,pres3,MSC04,MSC04,0.8,0.9,1.0,0.7142857142857143,,0.9
pres2,pres1,MSC04,MSC04,0.945,0.8,1.0,0.9015151515151515,,0.8
pres2,pres3,MSC04,MSC04,0.865,0.8,1.0,0.7884615384615385,,0.8
pres3,pres1,MSC04,MSC04,0.865,0.85,1.0,0.7884615384615385,,0.85
pres3,pres2,MSC04,MSC04,0.905,0.85,1.0,0.8444055944055944,,0.85
pres1,pres2,MSC05,MSC05,0.995,1.0,1.0,0.990909090909091,1.0,1.0
pres1,pres3,MSC05,MSC05,0.9,1.0,1.0,0.8333333333333334,1.0,1.0
pres2,pres1,MSC05,MSC05,0.95,1.0,1.0,0.9106060606060606,1.0,1.0
pres2,pres3,MSC05,MSC05,0.94,1.0,1.0,0.8954545454545455,1.0,1.0
pres3,pres1,MSC05,MSC05,0.7,0.95,1.0,0.6259803921568627,,0.95
pres3,pres2,MSC05,MSC05,0.845,0.95,1.0,0.7637362637362638,,0.95
pres1,pres2,MSC06,MSC06,0.89,0.85,1.0,0.8237595737595738,,0.85
pres1,pres3,MSC06,MSC06,0.83,0.85,1.0,0.7489010989010989,,0.85
pres2,pres1,MSC06,MSC06,0.9,0.8,1.0,0.8356643356643357,,0.8
pres2,pres3,MSC06,MSC06,0.9299999999999999,0.8,1.0,0.87995337995338,,0.8
pres3,pres1,MSC06,MSC06,0.755,0.9,1.0,0.6749999999999999,,0.9
pres3,pres2,MSC06,MSC06,0.915,0.9,1.0,0.861988011988012,,0.9
pres1,pres2,MSC07,MSC07,0.78,0.95,1.0,0.696565934065934,,0.95
pres1,pres3,MSC07,MSC07,0.69,0.95,1.0,0.6181372549019608,,0.95
pres2,pres1,MSC07,MSC07,0.985,0.7,1.0,0.9742424242424242,,0.7
pres2,pres3,MSC07,MSC07,0.705,0.7,1.0,0.6301470588235294,,0.7
pres3,pres1,MSC07,MSC07,0.905,0.75,1.0,0.8444055944055944,,0.75
pres3,pres2,MSC07,MSC07,0.77,0.75,1.0,0.6883699633699634,,0.75
pres1,pres2,MSC10,MSC10,0.845,1.0,1.0,0.7646520146520147,1.0,1.0
pres1,pres3,MSC10,MSC10,0.79,1.0,1.0,0.7047619047619048,1.0,1.0
pres2,pres1,MSC10,MSC10,0.95,0.8,1.0,0.9136363636363636,,0.8
pres2,pres3,MSC10,MSC10,0.6699999999999999,0.8,1.0,0.6037581699346405,,0.8
pres3,pres1,MSC10,MSC10,0.905,0.7,1.0,0.8453213453213453,,0.7
pres3,pres2,MSC10,MSC10,0.77,0.7,1.0,0.6857142857142857,,0.7
