train_sub,test_sub,task,diff_sub,same_sub,OS_TPV,OS_RPV,SS_TPV,SS_RPV
MSC03,MSC05,glass,0.645,0.9,1.0,0.5881769374416433,,0.9
MSC03,MSC05,semantic,0.735,0.9,1.0,0.661143431731667,,0.9
MSC03,MSC05,motor,0.945,0.95,1.0,0.906060606060606,,0.95
MSC03,MSC05,mem,0.9375,0.9375,1.0,0.8901515151515151,,0.9375
MSC03,MSC06,glass,0.5842105263157895,0.9,,0.5591675266597868,,0.9
MSC03,MSC06,semantic,0.5,0.9,,0.5,,0.9
MSC03,MSC06,motor,0.9263157894736842,0.95,1.0,0.8811188811188811,,0.95
MSC03,MSC06,mem,0.775,0.9375,1.0,0.7009332579185521,,0.9375
MSC03,MSC07,glass,0.555,0.9,1.0,0.5292397660818713,,0.9
MSC03,MSC07,semantic,0.505,0.9,,0.5026315789473684,,0.9
MSC03,MSC07,motor,0.9421052631578947,0.95,1.0,0.9072261072261072,,0.95
MSC03,MSC07,mem,0.59375,0.9375,,0.5535560715514276,,0.9375
MSC03,MSC10,glass,0.505,0.9,,0.5026315789473684,,0.9
MSC03,MSC10,semantic,0.505,0.9,,0.5026315789473684,,0.9
MSC03,MSC10,motor,0.91,0.95,1.0,0.855011655011655,,0.95
MSC03,MSC10,mem,0.8625,0.9375,1.0,0.7912087912087913,,0.9375
MSC04,MSC01,glass,0.64,0.95,1.0,0.5816993464052288,,0.95
MSC04,MSC01,semantic,0.91,0.95,1.0,0.8532467532467533,,0.95
MSC04,MSC01,motor,1.0,1.0,1.0,1.0,1.0,1.0
MSC04,MSC01,mem,0.995,1.0,1.0,0.990909090909091,1.0,1.0
MSC04,MSC02,glass,0.615,0.95,1.0,0.5660474716202271,,0.95
MSC04,MSC02,semantic,0.785,0.95,1.0,0.7077856783739137,,0.95
MSC04,MSC02,motor,0.99,1.0,1.0,0.9818181818181818,1.0,1.0
MSC04,MSC02,mem,0.925,1.0,1.0,0.8712121212121212,1.0,1.0
MSC04,MSC03,glass,0.615,0.95,,0.5701324389404885,,0.95
MSC04,MSC03,semantic,0.82,0.95,1.0,0.7401422107304461,,0.95
MSC04,MSC03,motor,0.97,1.0,0.9454545454545454,1.0,1.0,1.0
MSC04,MSC03,mem,0.9833333333333333,1.0,0.9777777777777777,0.990909090909091,1.0,1.0
MSC04,MSC05,glass,0.585,0.95,,0.5474200206398349,,0.95
MSC04,MSC05,semantic,0.555,0.95,,0.5318498452012383,,0.95
MSC04,MSC05,motor,0.955,1.0,1.0,0.9212121212121211,1.0,1.0
MSC04,MSC05,mem,0.875,1.0,1.0,0.8047619047619048,1.0,1.0
MSC04,MSC06,glass,0.8421052631578947,0.95,1.0,0.7758699633699634,,0.95
MSC04,MSC06,semantic,0.66,0.95,1.0,0.5987333529903189,,0.95
MSC04,MSC06,motor,0.9,1.0,1.0,0.8432400932400933,1.0,1.0
MSC04,MSC06,mem,0.98,1.0,1.0,0.9636363636363636,1.0,1.0
MSC04,MSC07,glass,0.73,0.95,0.8291666666666666,0.6792232277526395,,0.95
MSC04,MSC07,semantic,0.9299999999999999,0.95,1.0,0.8803030303030304,,0.95
