Task,f1,train,acc,Analysis
rest,0.9166666666666666,MSC01,0.84,Same Person
mem,0.8666666666666666,MSC01,0.84,Same Person
sem,0.8333333333333334,MSC01,0.84,Same Person
mot,0.5,MSC01,0.84,Same Person
glass,0.9,MSC01,0.84,Same Person
rest,0.6588701692926915,MSC01,0.6095652173913043,Different Person
mem,0.7386651600529898,MSC01,0.6095652173913043,Different Person
sem,0.6124490792073628,MSC01,0.6095652173913043,Different Person
mot,0.011428571428571429,MSC01,0.6095652173913043,Different Person
glass,0.6987155145561494,MSC01,0.6095652173913043,Different Person
rest,0.9066666666666666,MSC02,0.8200000000000001,Same Person
mem,0.8666666666666666,MSC02,0.8200000000000001,Same Person
sem,0.6333333333333333,MSC02,0.8200000000000001,Same Person
mot,0.5666666666666667,MSC02,0.8200000000000001,Same Person
glass,0.8666666666666666,MSC02,0.8200000000000001,Same Person
rest,0.7562782172366448,MSC02,0.5904347826086956,Different Person
mem,0.6554091556769162,MSC02,0.5904347826086956,Different Person
sem,0.44086926751615635,MSC02,0.5904347826086956,Different Person
mot,0.15858212523023177,MSC02,0.5904347826086956,Different Person
glass,0.6544955727061759,MSC02,0.5904347826086956,Different Person
rest,0.9166666666666666,MSC03,0.8,Same Person
mem,0.8333333333333333,MSC03,0.8,Same Person
sem,0.625,MSC03,0.8,Same Person
mot,0.4583333333333333,MSC03,0.8,Same Person
glass,0.8958333333333334,MSC03,0.8,Same Person
rest,0.5377994312125908,MSC03,0.5201729106628242,Different Person
mem,0.7128568943719399,MSC03,0.5201729106628242,Different Person
sem,0.037504019551096536,MSC03,0.5201729106628242,Different Person
mot,0.1063601354390828,MSC03,0.5201729106628242,Different Person
glass,0.7506613506531283,MSC03,0.5201729106628242,Different Person
rest,0.9666666666666668,MSC04,0.92,Same Person
mem,0.9666666666666666,MSC04,0.92,Same Person
sem,0.8666666666666668,MSC04,0.92,Same Person
mot,0.7,MSC04,0.92,Same Person
glass,0.9666666666666666,MSC04,0.92,Same Person
rest,0.6899950698933349,MSC04,0.6678260869565218,Different Person
mem,0.8311048161355445,MSC04,0.6678260869565218,Different Person
sem,0.5404913141630894,MSC04,0.6678260869565218,Different Person
mot,0.24296343867467293,MSC04,0.6678260869565218,Different Person
glass,0.7868560373883374,MSC04,0.6678260869565218,Different Person
rest,0.9166666666666666,MSC05,0.9,Same Person
mem,0.9666666666666666,MSC05,0.9,Same Person
sem,0.9,MSC05,0.9,Same Person
mot,0.6,MSC05,0.9,Same Person
glass,0.9666666666666668,MSC05,0.9,Same Person
rest,0.6895098312925266,MSC05,0.6408695652173912,Different Person
mem,0.6861955941760953,MSC05,0.6408695652173912,Different Person
sem,0.6155630527342326,MSC05,0.6408695652173912,Different Person
mot,0.18688852412381823,MSC05,0.6408695652173912,Different Person
glass,0.7845350731180407,MSC05,0.6408695652173912,Different Person
rest,0.8333333333333335,MSC06,0.8222222222222222,Same Person
mem,0.9629629629629629,MSC06,0.8222222222222222,Same Person
sem,0.6666666666666666,MSC06,0.8222222222222222,Same Person
mot,0.4074074074074074,MSC06,0.8222222222222222,Same Person
glass,0.9629629629629631,MSC06,0.8222222222222222,Same Person
rest,0.6599673372910418,MSC06,0.643611911623439,Different Person
mem,0.7383789738014789,MSC06,0.643611911623439,Different Person
sem,0.665041146914586,MSC06,0.643611911623439,Different Person
mot,0.06418061897513952,MSC06,0.643611911623439,Different Person
glass,0.7958489196879837,MSC06,0.643611911623439,Different Person
rest,1.0,MSC07,0.8666666666666667,Same Person
mem,0.8888888888888888,MSC07,0.8666666666666667,Same Person
sem,0.8888888888888888,MSC07,0.8666666666666667,Same Person
mot,0.3333333333333333,MSC07,0.8666666666666667,Same Person
glass,1.0,MSC07,0.8666666666666667,Same Person
rest,0.5810593235749129,MSC07,0.550417469492614,Different Person
mem,0.7110507373131867,MSC07,0.550417469492614,Different Person
sem,0.34895933981499216,MSC07,0.550417469492614,Different Person
mot,0.06462218215385623,MSC07,0.550417469492614,Different Person
glass,0.6883753248574701,MSC07,0.550417469492614,Different Person
rest,0.8333333333333333,MSC10,0.72,Same Person
mem,0.6833333333333333,MSC10,0.72,Same Person
sem,0.36666666666666664,MSC10,0.72,Same Person
mot,0.4333333333333333,MSC10,0.72,Same Person
glass,0.9,MSC10,0.72,Same Person
rest,0.5400270372593683,MSC10,0.5211594202898551,Different Person
mem,0.6930083671192213,MSC10,0.5211594202898551,Different Person
sem,0.3571995925419407,MSC10,0.5211594202898551,Different Person
mot,0.04245472837022134,MSC10,0.5211594202898551,Different Person
glass,0.6600943201780493,MSC10,0.5211594202898551,Different Person
